NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
41	702.361	7.881	93.996	8.955	0.006	0.983	120000.0
42	701.331	7.868	93.678	8.925	0.006	0.983	80000.0
43	701.22	7.877	93.751	8.937	0.006	0.983	70000.0
44	702.569	7.889	93.91	8.958	0.006	0.983	100000.0
45	703.001	7.9	93.993	8.971	0.006	0.983	60000.0
46	706.188	7.918	94.245	8.979	0.006	0.983	130000.0
47	703.01	7.901	93.786	8.95	0.006	0.983	110000.0
48	701.761	7.891	93.777	8.956	0.006	0.983	60000.0
49	700.122	7.863	93.498	8.922	0.006	0.983	100000.0
50	703.278	7.877	93.954	8.937	0.006	0.983	100000.0
51	703.642	7.872	94.289	8.958	0.006	0.983	120000.0
52	707.471	7.93	94.426	8.994	0.006	0.983	120000.0
53	702.587	7.9	93.832	8.965	0.006	0.983	150000.0
54	703.341	7.903	93.822	8.959	0.006	0.983	50000.0
55	707.372	7.934	94.473	9.0	0.006	0.983	160000.0
56	703.454	7.907	93.9	8.966	0.006	0.983	100000.0
57	701.904	7.878	93.706	8.924	0.006	0.983	120000.0
58	703.909	7.905	93.979	8.961	0.006	0.983	100000.0
59	705.721	7.929	94.28	8.998	0.006	0.983	280000.0
60	702.26	7.873	93.843	8.934	0.006	0.983	90000.0
61	704.433	7.919	94.026	8.978	0.006	0.983	130000.0
62	706.226	7.915	94.392	8.991	0.006	0.983	140000.0
63	707.192	7.935	94.408	8.991	0.006	0.983	70000.0
64	705.11	7.916	94.156	8.974	0.006	0.983	80000.0
65	702.875	7.893	93.951	8.959	0.006	0.983	40000.0
66	703.362	7.891	94.022	8.955	0.006	0.983	130000.0
67	701.266	7.869	93.691	8.931	0.006	0.983	70000.0
68	699.187	7.844	93.545	8.913	0.006	0.983	140000.0
69	704.858	7.901	93.965	8.953	0.006	0.983	90000.0
70	702.191	7.882	93.918	8.955	0.006	0.983	140000.0
71	705.546	7.904	94.191	8.965	0.006	0.983	100000.0
72	703.485	7.891	94.201	8.978	0.006	0.983	100000.0
73	702.737	7.892	93.851	8.952	0.006	0.983	70000.0
74	704.887	7.912	94.255	8.982	0.006	0.983	130000.0
75	704.718	7.92	94.057	8.974	0.006	0.983	120000.0
76	701.914	7.886	93.807	8.948	0.006	0.983	80000.0
77	701.883	7.87	93.552	8.918	0.006	0.983	150000.0
78	704.541	7.896	94.036	8.952	0.006	0.983	90000.0
79	704.354	7.912	93.928	8.962	0.006	0.983	100000.0
80	703.607	7.895	93.866	8.947	0.006	0.983	110000.0
81	702.722	7.874	93.88	8.936	0.006	0.983	100000.0
82	704.539	7.898	94.146	8.969	0.006	0.983	170000.0
83	702.37	7.887	93.997	8.966	0.006	0.983	100000.0
84	702.703	7.89	93.736	8.938	0.006	0.983	50000.0
85	704.579	7.905	94.196	8.974	0.006	0.983	60000.0
86	703.584	7.894	94.023	8.962	0.006	0.983	100000.0
87	705.116	7.926	94.155	8.993	0.006	0.983	140000.0
88	704.253	7.909	94.099	8.979	0.006	0.983	230000.0
89	703.927	7.894	94.088	8.962	0.006	0.983	70000.0
90	703.166	7.888	93.84	8.945	0.006	0.983	50000.0
91	702.443	7.882	93.72	8.934	0.006	0.983	30000.0
92	703.106	7.891	93.902	8.946	0.006	0.983	160000.0
93	701.061	7.869	93.764	8.943	0.006	0.983	560000.0
94	705.027	7.91	94.216	8.983	0.006	0.983	130000.0
95	700.431	7.881	93.625	8.951	0.006	0.983	80000.0
96	704.06	7.901	94.033	8.96	0.006	0.983	170000.0
97	705.438	7.917	94.142	8.968	0.006	0.983	50000.0
98	704.546	7.899	94.146	8.959	0.006	0.983	60000.0
99	703.558	7.904	94.012	8.975	0.006	0.983	30000.0
100	705.736	7.932	94.284	8.998	0.006	0.983	40000.0
