NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
76	1074.432	11.647	146.713	13.452	0.013	0.96	30000.0
77	1070.991	11.602	146.388	13.421	0.013	0.96	20000.0
78	1075.447	11.66	147.038	13.491	0.013	0.96	20000.0
79	1072.547	11.631	146.658	13.453	0.013	0.96	30000.0
80	1071.212	11.6	146.375	13.411	0.013	0.96	30000.0
81	1068.986	11.577	146.33	13.412	0.013	0.96	40000.0
82	1077.272	11.65	147.116	13.469	0.013	0.96	20000.0
83	1071.304	11.606	146.695	13.454	0.013	0.96	20000.0
84	1073.667	11.627	146.644	13.437	0.013	0.96	20000.0
85	1074.496	11.626	147.015	13.468	0.013	0.96	20000.0
86	1072.448	11.63	146.676	13.457	0.013	0.96	20000.0
87	1075.615	11.663	147.09	13.489	0.013	0.96	20000.0
88	1073.397	11.643	147.024	13.487	0.013	0.96	30000.0
89	1072.407	11.615	146.818	13.45	0.013	0.96	20000.0
90	1072.993	11.62	146.987	13.472	0.013	0.96	20000.0
91	1072.965	11.646	146.49	13.46	0.013	0.96	30000.0
92	1073.344	11.627	146.573	13.428	0.013	0.96	30000.0
93	1076.569	11.649	147.104	13.48	0.013	0.96	20000.0
94	1074.144	11.639	146.947	13.475	0.013	0.96	20000.0
95	1070.922	11.6	146.559	13.444	0.013	0.96	20000.0
96	1073.283	11.628	146.881	13.464	0.013	0.96	20000.0
97	1072.001	11.614	146.616	13.432	0.013	0.96	20000.0
98	1074.976	11.636	147.153	13.467	0.013	0.96	30000.0
99	1073.765	11.638	146.864	13.476	0.013	0.96	30000.0
100	1071.123	11.635	146.662	13.469	0.013	0.96	20000.0
