Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.25	10264	0.998	581.057	5.661%	83.042	6.882%	0.00273	0.991
SP.Syn.Abst.26	9249	0.981	1501.568	16.235%	219.061	19.51%	0.02317	0.937
SP.Syn.Abst.27	7794	0.999	344.503	4.42%	48.202	5.34%	0.00188	0.994
SP.Syn.Abst.28	6697	0.992	698.922	10.436%	97.28	12.522%	0.00887	0.966
SP.Syn.Abst.29	9469	0.974	1801.294	19.023%	256.567	22.841%	0.03167	0.894
SP.Syn.Abst.30	7558	0.973	1467.163	19.412%	214.322	23.063%	0.03354	0.916
SP.Syn.Abst.31	20497	0.988	2660.973	12.982%	385.16	15.654%	0.01466	0.958
SP.Syn.Abst.32	17902	0.998	939.486	5.248%	131.213	6.24%	0.00241	0.993
SP.Syn.Abst.33	8839	0.995	741.802	8.392%	103.048	9.85%	0.00663	0.982
SP.Syn.Abst.34	21618	0.998	1152.543	5.331%	160.004	6.357%	0.00287	0.991
SP.Syn.Abst.35	10724	0.998	564.002	5.259%	79.378	6.396%	0.00264	0.991
SP.Syn.Abst.36	15085	0.999	555.493	3.682%	79.959	4.561%	0.00139	0.995
SP.Syn.Abst.37	7534	0.998	366.526	4.865%	53.574	6.067%	0.00297	0.993
SP.Syn.Abst.38	10842	0.998	532.511	4.912%	73.837	5.874%	0.00195	0.993
SP.Syn.Abst.39	11218	0.999	443.157	3.95%	61.782	4.703%	0.0015	0.996
SP.Syn.Abst.40	10216	0.997	657.78	6.439%	97.227	8.078%	0.0037	0.988
SP.Syn.Abst.41	8031	0.999	223.337	2.781%	31.669	3.376%	0.00078	0.998
SP.Syn.Abst.42	2779	0.979	470.343	16.925%	66.363	20.618%	0.02573	0.907
SP.Syn.Abst.43	9794	0.999	330.798	3.378%	48.006	4.199%	0.00143	0.996
SP.Syn.Abst.44	11865	0.995	929.99	7.838%	130.843	9.522%	0.00502	0.98
SP.Syn.Abst.45	17095	0.996	1315.977	7.698%	185.394	9.366%	0.00486	0.981
SP.Syn.Abst.46	6516	1.0	71.925	1.104%	9.691	1.279%	0.00012	1.0
SP.Syn.Abst.47	8217	0.999	336.053	4.09%	46.773	4.857%	0.00146	0.995
SP.Syn.Abst.48	9873	0.999	334.644	3.389%	46.362	4.029%	0.00101	0.997
SP.Syn.Abst.49	5607	0.993	555.007	9.898%	76.924	11.658%	0.00824	0.972
SP.Syn.Abst.50	8606	0.999	339.002	3.939%	47.77	4.767%	0.00167	0.995
SP.Syn.Abst.51	7566	0.993	722.564	9.55%	105.38	11.73%	0.008	0.975
SP.Syn.Abst.52	12203	1.0	193.118	1.583%	27.26	1.916%	0.00022	0.999
SP.Syn.Abst.53	10414	0.992	1055.482	10.135%	149.36	12.399%	0.00962	0.966
SP.Syn.Abst.54	8230	0.997	539.002	6.549%	77.54	8.139%	0.00366	0.986
SP.Syn.Abst.55	11995	0.987	1658.258	13.825%	231.355	16.316%	0.01644	0.946
SP.Syn.Abst.56	11514	0.995	937.066	8.138%	130.781	9.604%	0.00604	0.983
SP.Syn.Abst.57	12036	0.99	1346.213	11.185%	193.325	13.875%	0.01075	0.958
SP.Syn.Abst.58	10984	0.994	992.569	9.036%	143.68	11.045%	0.00694	0.977
SP.Syn.Abst.59	16910	0.976	3218.558	19.033%	446.26	21.83%	0.03004	0.915
SP.Syn.Abst.60	10602	0.997	609.436	5.748%	88.696	7.234%	0.00295	0.989
SP.Syn.Abst.61	14774	0.996	1018.223	6.892%	150.462	8.635%	0.00422	0.986
SP.Syn.Abst.62	14893	0.999	445.015	2.988%	65.626	3.798%	0.001	0.997
SP.Syn.Abst.63	9665	0.993	981.86	10.159%	136.18	12.125%	0.00876	0.968
SP.Syn.Abst.64	11535	0.992	1188.012	10.299%	173.384	12.627%	0.0093	0.971
SP.Syn.Abst.65	5392	0.997	368.859	6.841%	52.185	8.36%	0.00393	0.985
SP.Syn.Abst.66	5859	0.995	508.596	8.681%	70.529	10.358%	0.00668	0.977
SP.Syn.Abst.67	8865	0.994	783.968	8.843%	110.266	10.738%	0.00642	0.975
SP.Syn.Abst.68	21774	0.988	2789.709	12.812%	398.838	15.273%	0.0142	0.96
SP.Syn.Abst.69	14342	0.999	492.332	3.433%	69.872	4.185%	0.00124	0.996
SP.Syn.Abst.70	6652	0.993	652.458	9.808%	90.291	11.679%	0.00829	0.97
SP.Syn.Abst.71	12631	0.998	735.587	5.824%	103.091	6.952%	0.00273	0.99
SP.Syn.Abst.72	18457	0.987	2462.575	13.342%	342.651	15.977%	0.0146	0.944
SP.Syn.Abst.73	5899	1.0	127.551	2.162%	17.967	2.625%	0.00039	0.999
SP.Syn.Abst.74	9462	0.995	758.899	8.02%	106.748	9.643%	0.0058	0.98
SP.Syn.Abst.75	9161	0.996	672.89	7.345%	95.711	9.027%	0.00449	0.982
SP.Syn.Abst.76	8289	0.991	926.805	11.181%	135.661	13.71%	0.01102	0.967
SP.Syn.Abst.77	8765	0.996	654.702	7.47%	92.746	8.961%	0.00475	0.985
SP.Syn.Abst.78	9930	0.998	530.802	5.345%	74.708	6.402%	0.00252	0.992
SP.Syn.Abst.79	15947	0.998	860.557	5.396%	120.996	6.548%	0.00237	0.991
SP.Syn.Abst.80	13138	0.996	956.335	7.279%	134.06	8.647%	0.0053	0.986
SP.Syn.Abst.81	7115	0.999	255.77	3.595%	36.375	4.413%	0.00127	0.996
SP.Syn.Abst.82	6297	0.975	1174.844	18.657%	173.199	22.444%	0.03123	0.919
SP.Syn.Abst.83	9880	0.999	359.647	3.64%	49.717	4.331%	0.00114	0.996
SP.Syn.Abst.84	7897	0.999	260.055	3.293%	38.13	4.163%	0.00119	0.996
SP.Syn.Abst.85	12512	0.991	1415.804	11.316%	201.29	13.689%	0.01163	0.961
SP.Syn.Abst.86	10568	1.0	150.987	1.429%	21.799	1.77%	0.00024	0.999
SP.Syn.Abst.87	12491	0.991	1341.146	10.737%	191.626	13.247%	0.00973	0.962
SP.Syn.Abst.88	16763	0.996	1267.521	7.561%	175.668	9.022%	0.00493	0.982
SP.Syn.Abst.89	14645	0.98	2458.088	16.784%	343.2	20.097%	0.02344	0.913
SP.Syn.Abst.90	5869	0.985	870.312	14.829%	120.704	17.194%	0.01795	0.945
SP.Syn.Abst.91	5678	0.997	342.012	6.023%	49.549	7.513%	0.0037	0.988
SP.Syn.Abst.92	5709	0.999	204.984	3.591%	29.629	4.441%	0.00158	0.996
SP.Syn.Abst.93	4549	1.0	50.276	1.105%	6.562	1.241%	0.00011	1.0
SP.Syn.Abst.94	7052	0.997	409.535	5.807%	59.692	7.317%	0.00301	0.989
SP.Syn.Abst.95	20507	0.999	592.749	2.89%	86.829	3.626%	0.00102	0.997
SP.Syn.Abst.96	7818	0.997	512.234	6.552%	73.59	8.095%	0.00426	0.986
SP.Syn.Abst.97	7874	0.997	493.572	6.268%	68.221	7.442%	0.00391	0.988
SP.Syn.Abst.98	13076	0.998	596.617	4.563%	84.637	5.523%	0.00237	0.994
SP.Syn.Abst.99	10608	1.0	267.603	2.523%	38.204	3.093%	0.00069	0.998
SP.Syn.Abst.100	12341	0.995	1019.415	8.26%	141.723	9.899%	0.00562	0.979
SP.Syn.Abst.101	6874	0.984	977.578	14.221%	144.157	17.991%	0.01991	0.93
SP.Syn.Abst.102	6963	0.994	668.65	9.603%	91.972	11.233%	0.00771	0.974
SP.Syn.Abst.103	9497	0.999	377.276	3.973%	51.858	4.695%	0.00147	0.995
SP.Syn.Abst.104	7377	0.997	490.878	6.654%	68.451	7.975%	0.00432	0.986
SP.Syn.Abst.105	13135	0.998	686.81	5.229%	98.54	6.479%	0.0023	0.991
SP.Syn.Abst.106	3697	0.978	672.193	18.182%	93.856	20.941%	0.02702	0.924
SP.Syn.Abst.107	7732	0.999	240.687	3.113%	35.008	3.875%	0.00116	0.997
SP.Syn.Abst.108	3257	0.978	585.245	17.969%	83.058	20.994%	0.027	0.925
SP.Syn.Abst.109	6325	0.998	290.277	4.589%	42.033	5.683%	0.00259	0.993
SP.Syn.Abst.110	11396	0.989	1362.742	11.958%	198.713	14.57%	0.01253	0.963
SP.Syn.Abst.111	9498	1.0	235.493	2.479%	34.44	3.107%	0.00076	0.998
SP.Syn.Abst.112	9272	0.999	305.209	3.292%	41.894	3.879%	0.00095	0.997
SP.Syn.Abst.113	7847	0.993	779.941	9.939%	110.844	11.915%	0.00812	0.973
SP.Syn.Abst.114	7042	0.997	427.207	6.067%	59.479	7.29%	0.00296	0.989
SP.Syn.Abst.115	9482	1.0	97.163	1.025%	13.419	1.216%	0.0001	1.0
SP.Syn.Abst.116	6775	0.997	448.215	6.616%	65.296	8.178%	0.00383	0.987
SP.Syn.Abst.117	12554	0.998	666.15	5.306%	91.979	6.316%	0.00228	0.991
SP.Syn.Abst.118	6185	0.996	465.737	7.53%	68.672	9.399%	0.00507	0.983
SP.Syn.Abst.119	10344	0.999	334.007	3.229%	47.461	3.949%	0.00105	0.997
SP.Syn.Abst.120	7348	0.999	245.689	3.344%	34.154	3.973%	0.00098	0.997
SP.Syn.Abst.121	19230	0.999	596.822	3.104%	84.729	3.781%	0.00108	0.997
SP.Syn.Abst.122	5990	0.977	1124.99	18.781%	155.834	21.524%	0.02918	0.917
SP.Syn.Abst.123	10213	0.986	1400.945	13.717%	202.353	16.945%	0.01765	0.939
SP.Syn.Abst.124	10868	0.994	995.936	9.164%	143.057	11.095%	0.00721	0.978
SP.Syn.Abst.125	21294	0.997	1323.569	6.216%	182.819	7.387%	0.00346	0.988
SP.Syn.Abst.126	13214	0.998	750.842	5.682%	104.387	6.786%	0.00322	0.99
SP.Syn.Abst.127	12640	0.996	931.805	7.372%	128.382	8.751%	0.00453	0.983
SP.Syn.Abst.128	6003	0.995	528.459	8.803%	74.877	10.522%	0.00676	0.98
SP.Syn.Abst.129	6426	0.995	524.659	8.165%	74.351	9.902%	0.00621	0.979
SP.Syn.Abst.130	7531	0.998	413.23	5.487%	57.563	6.502%	0.00267	0.992
SP.Syn.Abst.131	6536	0.991	704.814	10.784%	102.201	13.135%	0.00995	0.969
SP.Syn.Abst.132	13915	1.0	283.158	2.035%	40.595	2.505%	0.00049	0.999
SP.Syn.Abst.133	6320	0.997	388.904	6.154%	54.515	7.446%	0.00309	0.988
SP.Syn.Abst.134	10474	0.996	786.333	7.507%	109.793	9.048%	0.00458	0.982
SP.Syn.Abst.135	15351	0.996	1132.005	7.374%	157.647	8.701%	0.00481	0.986
SP.Syn.Abst.136	10732	0.993	1091.92	10.174%	156.105	12.226%	0.00887	0.973
SP.Syn.Abst.137	2734	0.998	130.19	4.762%	17.707	5.548%	0.00194	0.993
SP.Syn.Abst.138	16451	0.999	661.127	4.019%	96.289	5.052%	0.0014	0.995
SP.Syn.Abst.139	11409	0.999	482.714	4.231%	66.557	5.019%	0.00159	0.995
SP.Syn.Abst.140	4913	0.978	887.088	18.056%	125.138	20.972%	0.02712	0.925
SP.Syn.Abst.141	7285	1.0	177.489	2.436%	25.148	2.955%	0.00056	0.998
SP.Syn.Abst.142	10040	0.997	660.402	6.578%	91.132	7.823%	0.00364	0.987
SP.Syn.Abst.143	10644	0.992	1066.08	10.016%	153.17	12.435%	0.00858	0.966
SP.Syn.Abst.144	6221	0.997	418.749	6.731%	58.121	8.028%	0.00436	0.986
SP.Syn.Abst.145	9574	1.0	137.234	1.433%	19.087	1.717%	0.00018	0.999
SP.Syn.Abst.146	8494	0.999	358.354	4.219%	49.448	5.011%	0.00155	0.995
SP.Syn.Abst.147	11111	0.997	757.058	6.814%	105.473	8.054%	0.00433	0.988
SP.Syn.Abst.148	8244	0.999	231.158	2.804%	31.808	3.32%	0.0007	0.998
SP.Syn.Abst.149	11407	1.0	171.267	1.501%	24.78	1.871%	0.00019	0.999
SP.Syn.Abst.150	9732	0.993	930.233	9.558%	129.055	11.411%	0.00797	0.972
SP.Syn.Abst.151	10790	0.996	762.239	7.064%	108.986	8.575%	0.00414	0.986
SP.Syn.Abst.152	14493	0.991	1565.951	10.805%	220.695	13.142%	0.00965	0.962
SP.Syn.Abst.153	4975	0.978	898.926	18.069%	126.595	20.954%	0.02713	0.925
SP.Syn.Abst.154	40955	0.999	1238.004	3.023%	178.366	3.758%	0.0008	0.997
SP.Syn.Abst.155	11596	0.997	683.23	5.892%	98.951	7.259%	0.00295	0.99
SP.Syn.Abst.156	7615	0.998	358.597	4.709%	49.953	5.617%	0.00195	0.993
SP.Syn.Abst.157	7086	0.999	190.336	2.686%	27.456	3.322%	0.00089	0.998
SP.Syn.Abst.158	12837	0.995	1081.53	8.425%	158.454	10.43%	0.0062	0.98
SP.Syn.Abst.159	14680	0.993	1471.164	10.022%	205.731	12.091%	0.0082	0.968
SP.Syn.Abst.160	7156	0.991	785.835	10.981%	112.458	13.413%	0.01114	0.962
SP.Syn.Abst.161	11543	0.992	1181.754	10.238%	169.265	12.699%	0.00931	0.965
SP.Syn.Abst.162	6719	0.986	916.097	13.634%	132.684	16.892%	0.0176	0.939
SP.Syn.Abst.163	13096	0.996	974.794	7.443%	135.046	8.879%	0.00475	0.983
SP.Syn.Abst.164	10300	0.998	562.417	5.46%	79.865	6.606%	0.00346	0.991
SP.Syn.Abst.165	6635	1.0	112.766	1.7%	15.648	2.022%	0.00025	0.999
SP.Syn.Abst.166	11637	0.983	1791.412	15.394%	248.947	18.37%	0.0196	0.927
SP.Syn.Abst.167	9711	0.998	583.398	6.008%	81.145	7.103%	0.00318	0.99
SP.Syn.Abst.168	7559	1.0	145.813	1.929%	20.037	2.274%	0.00031	0.999
SP.Syn.Abst.169	4368	0.978	798.072	18.271%	111.006	20.964%	0.02735	0.924
SP.Syn.Abst.170	5385	0.999	196.215	3.644%	27.78	4.426%	0.00154	0.996
SP.Syn.Abst.171	7489	0.999	316.525	4.227%	46.114	5.255%	0.00154	0.995
SP.Syn.Abst.172	5599	1.0	100.193	1.789%	13.864	2.124%	0.00026	0.999
SP.Syn.Abst.173	8702	0.997	588.062	6.758%	81.676	7.964%	0.00392	0.988
SP.Syn.Abst.174	8492	0.977	1530.312	18.021%	222.404	21.472%	0.02825	0.924
SP.Syn.Abst.175	6650	0.995	558.637	8.401%	80.036	10.293%	0.00661	0.977
SP.Syn.Abst.176	3408	0.978	621.413	18.234%	86.8	21.006%	0.02719	0.924
SP.Syn.Abst.177	11082	0.996	844.823	7.623%	124.319	9.498%	0.00513	0.983
SP.Syn.Abst.178	5421	0.973	1061.259	19.577%	154.594	23.179%	0.03415	0.916
SP.Syn.Abst.179	9374	0.998	410.632	4.381%	60.949	5.545%	0.00171	0.994
SP.Syn.Abst.180	12419	1.0	136.863	1.102%	19.387	1.342%	0.00013	1.0
SP.Syn.Abst.181	6117	1.0	133.804	2.187%	19.155	2.69%	0.00046	0.998
SP.Syn.Abst.182	6024	0.991	651.895	10.822%	93.863	13.097%	0.00988	0.969
SP.Syn.Abst.183	10794	0.997	763.889	7.077%	106.967	8.404%	0.00497	0.987
SP.Syn.Abst.184	2460	0.977	455.703	18.525%	63.096	21.177%	0.0281	0.922
SP.Syn.Abst.185	10907	0.999	363.09	3.329%	50.519	3.96%	0.00105	0.997
SP.Syn.Abst.186	4868	0.998	263.421	5.411%	37.314	6.575%	0.00345	0.991
SP.Syn.Abst.187	10355	0.999	398.23	3.846%	57.154	4.729%	0.00177	0.995
SP.Syn.Abst.188	6693	0.997	394.961	5.901%	57.639	7.42%	0.00366	0.988
SP.Syn.Abst.189	4000	1.0	102.735	2.568%	13.641	2.934%	0.0006	0.998
SP.Syn.Abst.190	14603	0.998	739.63	5.065%	103.19	6.019%	0.00227	0.993
SP.Syn.Abst.191	8287	0.999	248.04	2.993%	34.239	3.533%	0.00078	0.998
SP.Syn.Abst.192	8695	0.998	516.327	5.938%	71.287	7.06%	0.00303	0.989
SP.Syn.Abst.193	7848	0.998	365.612	4.659%	52.108	5.702%	0.00216	0.993
SP.Syn.Abst.194	6034	0.999	164.318	2.723%	22.789	3.252%	0.00061	0.998
SP.Syn.Abst.195	8762	0.974	1654.392	18.881%	244.283	22.712%	0.03218	0.918
SP.Syn.Abst.196	16717	0.998	903.808	5.407%	126.035	6.418%	0.00275	0.992
SP.Syn.Abst.197	12198	0.999	424.909	3.483%	59.418	4.206%	0.00103	0.996
SP.Syn.Abst.198	8468	0.995	733.733	8.665%	102.075	10.181%	0.00707	0.981
SP.Syn.Abst.199	5192	1.0	125.999	2.427%	17.831	2.94%	0.00057	0.998
SP.Syn.Abst.200	5955	0.996	456.56	7.667%	63.888	9.083%	0.00573	0.985
SP.Syn.Abst.201	7074	0.999	251.97	3.562%	34.638	4.215%	0.00109	0.996
SP.Syn.Abst.202	6161	0.99	731.989	11.881%	104.351	14.43%	0.01292	0.956
SP.Syn.Abst.203	10392	0.998	515.086	4.957%	74.932	6.149%	0.00314	0.992
SP.Syn.Abst.204	9544	0.994	809.641	8.483%	116.832	10.519%	0.00708	0.976
SP.Syn.Abst.205	5671	0.998	326.6	5.759%	46.106	7.016%	0.0027	0.989
SP.Syn.Abst.206	9375	0.999	365.115	3.895%	50.893	4.637%	0.00153	0.996
SP.Syn.Abst.207	12480	0.999	495.595	3.971%	73.1	5.002%	0.00141	0.995
SP.Syn.Abst.208	10139	0.995	818.601	8.074%	113.467	9.647%	0.00538	0.98
SP.Syn.Abst.209	7806	0.998	379.844	4.866%	52.768	5.774%	0.0019	0.993
SP.Syn.Abst.210	9243	0.986	1325.01	14.335%	185.678	16.76%	0.01664	0.95
SP.Syn.Abst.211	17194	0.985	2446.775	14.23%	349.858	17.537%	0.01741	0.933
SP.Syn.Abst.212	8214	0.991	906.953	11.042%	133.677	13.645%	0.01072	0.967
SP.Syn.Abst.213	12479	0.995	1099.341	8.81%	155.117	10.491%	0.00661	0.98
SP.Syn.Abst.214	4760	0.998	250.133	5.255%	35.576	6.373%	0.00329	0.992
SP.Syn.Abst.215	11188	0.995	951.09	8.501%	131.681	10.152%	0.00589	0.978
SP.Syn.Abst.216	11112	0.999	512.404	4.611%	71.462	5.482%	0.00192	0.994
SP.Syn.Abst.217	11204	0.986	1639.103	14.63%	226.839	16.949%	0.01741	0.946
SP.Syn.Abst.218	11959	0.996	891.206	7.452%	124.2	8.798%	0.00541	0.986
SP.Syn.Abst.219	8744	0.976	1494.769	17.095%	220.509	21.714%	0.02798	0.897
SP.Syn.Abst.220	17062	0.982	2663.006	15.608%	374.814	18.884%	0.02034	0.923
SP.Syn.Abst.221	9967	1.0	103.036	1.034%	15.048	1.295%	9e-05	1.0
SP.Syn.Abst.222	6378	0.989	820.278	12.861%	113.314	15.014%	0.01388	0.955
SP.Syn.Abst.223	4640	0.994	395.595	8.526%	57.463	10.661%	0.00727	0.975
SP.Syn.Abst.224	7830	0.999	344.808	4.404%	49.46	5.454%	0.00162	0.994
SP.Syn.Abst.225	8165	0.998	384.565	4.71%	56.56	5.983%	0.00195	0.992
SP.Syn.Abst.226	10734	1.0	198.516	1.849%	29.058	2.322%	0.0004	0.999
SP.Syn.Abst.227	9113	0.995	739.092	8.11%	104.28	9.884%	0.0054	0.979
SP.Syn.Abst.228	6295	0.975	1218.673	19.359%	169.058	22.222%	0.03114	0.911
SP.Syn.Abst.229	8738	0.996	628.529	7.193%	92.186	8.942%	0.00454	0.985
SP.Syn.Abst.230	11926	0.993	1226.362	10.283%	173.102	12.199%	0.00917	0.973
SP.Syn.Abst.231	6213	1.0	135.629	2.183%	18.48	2.552%	0.00039	0.999
SP.Syn.Abst.232	9455	0.997	641.049	6.78%	91.762	8.231%	0.00397	0.987
SP.Syn.Abst.233	7806	1.0	208.08	2.666%	28.477	3.139%	0.00063	0.998
SP.Syn.Abst.234	11213	0.999	322.337	2.875%	46.668	3.562%	0.00095	0.997
SP.Syn.Abst.235	15293	0.993	1418.942	9.278%	206.323	11.679%	0.00777	0.97
SP.Syn.Abst.236	16064	0.997	952.463	5.929%	140.35	7.426%	0.00312	0.989
SP.Syn.Abst.237	9614	0.999	412.507	4.291%	59.127	5.247%	0.00158	0.995
SP.Syn.Abst.238	17024	0.999	771.922	4.534%	107.067	5.375%	0.00165	0.994
SP.Syn.Abst.239	10921	0.996	788.979	7.224%	109.203	8.622%	0.00426	0.984
SP.Syn.Abst.240	9195	1.0	127.596	1.388%	18.572	1.734%	0.00022	0.999
SP.Syn.Abst.241	10970	0.995	850.167	7.75%	123.232	9.715%	0.00522	0.98
SP.Syn.Abst.242	8255	1.0	207.543	2.514%	28.28	2.947%	0.00057	0.998
SP.Syn.Abst.243	5848	0.999	237.644	4.064%	32.725	4.822%	0.00136	0.995
SP.Syn.Abst.244	10633	0.986	1472.442	13.848%	212.966	16.676%	0.01637	0.951
SP.Syn.Abst.245	14151	0.994	1215.433	8.589%	178.684	10.659%	0.00652	0.979
SP.Syn.Abst.246	41989	0.993	4168.741	9.928%	578.037	11.857%	0.0082	0.969
SP.Syn.Abst.247	8884	1.0	41.536	0.468%	5.293	0.512%	2e-05	1.0
SP.Syn.Abst.248	5238	0.996	374.119	7.142%	51.796	8.413%	0.00408	0.986
SP.Syn.Abst.249	14755	0.998	799.885	5.421%	112.314	6.48%	0.00297	0.992
SP.Syn.Abst.250	6572	0.998	320.056	4.87%	44.532	5.791%	0.00196	0.993
SP.Syn.Abst.251	17208	0.996	1290.221	7.498%	178.721	8.956%	0.00457	0.983
SP.Syn.Abst.252	14761	0.995	1159.769	7.857%	167.209	9.583%	0.00533	0.983
SP.Syn.Abst.253	10153	0.999	349.113	3.439%	49.963	4.218%	0.00141	0.996
SP.Syn.Abst.254	8342	0.997	564.613	6.768%	78.856	8.173%	0.00431	0.986
SP.Syn.Abst.255	11326	0.994	999.841	8.828%	138.763	10.559%	0.00643	0.976
SP.Syn.Abst.256	16042	0.979	2725.246	16.988%	389.812	20.48%	0.02578	0.916
SP.Syn.Abst.257	8418	1.0	157.248	1.868%	21.797	2.228%	0.00029	0.999
SP.Syn.Abst.258	7541	1.0	104.563	1.387%	14.343	1.633%	0.00015	0.999
SP.Syn.Abst.259	5956	0.998	306.41	5.145%	43.372	6.292%	0.00262	0.992
SP.Syn.Abst.260	7517	0.995	598.055	7.956%	85.19	9.584%	0.00543	0.983
SP.Syn.Abst.261	9444	0.999	370.687	3.925%	53.02	4.811%	0.00186	0.995
SP.Syn.Abst.262	8768	0.977	1584.57	18.072%	231.312	21.617%	0.02848	0.923
SP.Syn.Abst.263	6791	0.999	212.984	3.136%	30.161	3.83%	0.00099	0.997
SP.Syn.Abst.264	9624	0.996	715.212	7.432%	103.07	9.068%	0.00477	0.985
SP.Syn.Abst.265	3225	0.965	712.741	22.1%	100.138	26.426%	0.04169	0.853
SP.Syn.Abst.266	11121	1.0	269.34	2.422%	37.82	2.912%	0.00054	0.998
SP.Syn.Abst.267	8775	0.994	812.755	9.262%	114.228	10.971%	0.00731	0.978
SP.Syn.Abst.268	10095	1.0	171.298	1.697%	25.054	2.128%	0.00025	0.999
SP.Syn.Abst.269	7466	0.999	312.053	4.18%	43.009	4.964%	0.00141	0.995
SP.Syn.Abst.270	14232	0.999	521.672	3.665%	74.323	4.485%	0.00145	0.996
SP.Syn.Abst.271	7379	0.997	443.327	6.008%	63.639	7.33%	0.00313	0.99
SP.Syn.Abst.272	5295	1.0	115.544	2.182%	16.338	2.645%	0.00049	0.999
SP.Syn.Abst.273	9240	0.999	291.968	3.16%	41.179	3.812%	0.00102	0.997
SP.Syn.Abst.274	7460	0.998	361.381	4.844%	51.615	5.927%	0.00289	0.993
SP.Syn.Abst.275	10811	0.999	309.949	2.867%	44.257	3.53%	0.00082	0.997
SP.Syn.Abst.276	15930	0.992	1633.276	10.253%	240.518	12.687%	0.00931	0.971
SP.Syn.Abst.277	4482	0.999	188.631	4.209%	25.766	4.918%	0.00146	0.995
SP.Syn.Abst.278	11279	0.999	310.235	2.751%	43.904	3.332%	0.0008	0.998
SP.Syn.Abst.279	2803	0.993	276.145	9.852%	39.574	11.905%	0.00815	0.974
SP.Syn.Abst.280	9523	0.999	277.043	2.909%	40.428	3.631%	0.00076	0.997
SP.Syn.Abst.281	16851	0.98	2810.843	16.681%	392.208	19.961%	0.02314	0.914
SP.Syn.Abst.282	19490	0.996	1411.729	7.243%	197.818	8.761%	0.00426	0.983
SP.Syn.Abst.283	5984	0.999	193.831	3.239%	27.357	3.94%	0.00084	0.997
SP.Syn.Abst.284	5821	0.991	672.603	11.555%	93.302	13.609%	0.0114	0.962
SP.Syn.Abst.285	7293	1.0	132.172	1.812%	18.629	2.198%	0.00035	0.999
SP.Syn.Abst.286	4658	0.998	228.959	4.915%	31.145	5.767%	0.00188	0.993
SP.Syn.Abst.287	7178	0.959	1702.749	23.722%	244.157	28.179%	0.04893	0.85
SP.Syn.Abst.288	10464	0.955	2622.09	25.058%	374.384	29.667%	0.05345	0.831
SP.Syn.Abst.289	3007	0.976	547.101	18.194%	80.192	21.84%	0.02926	0.922
SP.Syn.Abst.290	11101	0.993	1110.872	10.007%	155.958	12.127%	0.00822	0.968
SP.Syn.Abst.291	5956	0.974	1121.269	18.826%	165.389	22.627%	0.03182	0.919
SP.Syn.Abst.292	6677	0.999	244.127	3.656%	35.67	4.612%	0.00118	0.996
SP.Syn.Abst.293	12441	0.995	1083.288	8.707%	150.063	10.378%	0.00672	0.977
