Samples	SBS96A	SBS96B
SP.Syn.Abst.220	5.02E+01	5.02E+01
SP.Syn.Abst.221	2.79E+01	2.79E+01
SP.Syn.Abst.222	2.29E+01	2.29E+01
SP.Syn.Abst.223	1.56E+01	1.56E+01
SP.Syn.Abst.224	2.10E+01	2.10E+01
SP.Syn.Abst.225	2.25E+01	2.25E+01
SP.Syn.Abst.226	2.90E+01	2.90E+01
SP.Syn.Abst.227	2.53E+01	2.53E+01
SP.Syn.Abst.228	2.68E+01	2.68E+01
SP.Syn.Abst.229	2.95E+01	2.95E+01
SP.Syn.Abst.230	3.62E+01	3.62E+01
SP.Syn.Abst.231	1.97E+01	1.97E+01
SP.Syn.Abst.232	2.76E+01	2.76E+01
SP.Syn.Abst.233	2.16E+01	2.16E+01
SP.Syn.Abst.234	2.96E+01	2.96E+01
SP.Syn.Abst.235	3.82E+01	3.82E+01
SP.Syn.Abst.236	4.57E+01	4.57E+01
SP.Syn.Abst.237	2.77E+01	2.77E+01
SP.Syn.Abst.238	4.82E+01	4.82E+01
SP.Syn.Abst.239	2.92E+01	2.92E+01
SP.Syn.Abst.240	2.73E+01	2.73E+01
SP.Syn.Abst.241	2.95E+01	2.95E+01
SP.Syn.Abst.242	2.31E+01	2.31E+01
SP.Syn.Abst.243	1.79E+01	1.79E+01
SP.Syn.Abst.244	3.80E+01	3.80E+01
SP.Syn.Abst.245	4.33E+01	4.33E+01
SP.Syn.Abst.246	1.06E+02	1.06E+02
SP.Syn.Abst.247	2.41E+01	2.41E+01
SP.Syn.Abst.248	2.05E+01	2.05E+01
SP.Syn.Abst.249	3.65E+01	3.65E+01
SP.Syn.Abst.250	1.93E+01	1.93E+01
SP.Syn.Abst.251	4.58E+01	4.58E+01
SP.Syn.Abst.252	4.56E+01	4.56E+01
SP.Syn.Abst.253	2.76E+01	2.76E+01
SP.Syn.Abst.254	2.38E+01	2.38E+01
SP.Syn.Abst.255	3.15E+01	3.15E+01
SP.Syn.Abst.256	5.11E+01	5.11E+01
SP.Syn.Abst.257	2.31E+01	2.31E+01
SP.Syn.Abst.258	2.11E+01	2.11E+01
SP.Syn.Abst.259	1.91E+01	1.91E+01
SP.Syn.Abst.260	2.49E+01	2.49E+01
SP.Syn.Abst.261	2.70E+01	2.70E+01
SP.Syn.Abst.262	3.59E+01	3.59E+01
SP.Syn.Abst.263	1.96E+01	1.96E+01
SP.Syn.Abst.264	2.86E+01	2.86E+01
SP.Syn.Abst.265	1.12E+01	1.12E+01
SP.Syn.Abst.266	3.07E+01	3.07E+01
SP.Syn.Abst.267	3.03E+01	3.03E+01
SP.Syn.Abst.268	3.00E+01	3.00E+01
SP.Syn.Abst.269	2.37E+01	2.37E+01
SP.Syn.Abst.270	3.84E+01	3.84E+01
SP.Syn.Abst.271	2.37E+01	2.37E+01
SP.Syn.Abst.272	1.74E+01	1.74E+01
SP.Syn.Abst.273	2.72E+01	2.72E+01
SP.Syn.Abst.274	1.95E+01	1.95E+01
SP.Syn.Abst.275	2.86E+01	2.86E+01
SP.Syn.Abst.276	5.24E+01	5.24E+01
SP.Syn.Abst.277	1.54E+01	1.54E+01
SP.Syn.Abst.278	3.03E+01	3.03E+01
SP.Syn.Abst.279	1.17E+01	1.17E+01
SP.Syn.Abst.280	2.73E+01	2.73E+01
SP.Syn.Abst.281	4.96E+01	4.96E+01
SP.Syn.Abst.282	5.08E+01	5.08E+01
SP.Syn.Abst.283	2.09E+01	2.09E+01
SP.Syn.Abst.284	2.12E+01	2.12E+01
SP.Syn.Abst.285	2.06E+01	2.06E+01
SP.Syn.Abst.286	1.72E+01	1.72E+01
SP.Syn.Abst.287	2.81E+01	2.81E+01
SP.Syn.Abst.288	3.56E+01	3.56E+01
SP.Syn.Abst.289	1.33E+01	1.33E+01
SP.Syn.Abst.290	3.26E+01	3.26E+01
SP.Syn.Abst.291	2.54E+01	2.54E+01
SP.Syn.Abst.292	2.26E+01	2.26E+01
SP.Syn.Abst.293	3.52E+01	3.52E+01
SP.Syn.Abst.294	2.39E+01	2.39E+01
SP.Syn.Abst.295	2.43E+01	2.43E+01
SP.Syn.Abst.296	1.90E+01	1.90E+01
SP.Syn.Abst.297	4.52E+01	4.52E+01
SP.Syn.Abst.298	4.02E+01	4.02E+01
SP.Syn.Abst.299	2.09E+01	2.09E+01
SP.Syn.Abst.300	2.59E+01	2.59E+01
SP.Syn.Abst.301	2.12E+01	2.12E+01
SP.Syn.Abst.302	2.92E+01	2.92E+01
SP.Syn.Abst.303	3.51E+01	3.51E+01
SP.Syn.Abst.304	3.47E+01	3.47E+01
SP.Syn.Abst.305	2.89E+01	2.89E+01
SP.Syn.Abst.306	2.43E+01	2.43E+01
SP.Syn.Abst.307	4.64E+01	4.64E+01
SP.Syn.Abst.308	2.28E+01	2.28E+01
SP.Syn.Abst.309	3.25E+01	3.25E+01
SP.Syn.Abst.310	1.66E+01	1.66E+01
SP.Syn.Abst.311	4.31E+01	4.31E+01
SP.Syn.Abst.312	2.07E+01	2.07E+01
SP.Syn.Abst.313	2.79E+01	2.79E+01
SP.Syn.Abst.314	2.41E+01	2.41E+01
SP.Syn.Abst.315	2.44E+01	2.44E+01
SP.Syn.Abst.316	3.32E+01	3.32E+01
SP.Syn.Abst.317	3.56E+01	3.56E+01
SP.Syn.Abst.318	2.88E+01	2.88E+01
SP.Syn.Abst.319	1.59E+01	1.59E+01
SP.Syn.Abst.320	1.96E+01	1.96E+01
SP.Syn.Abst.321	1.69E+01	1.69E+01
SP.Syn.Abst.322	3.03E+01	3.03E+01
SP.Syn.Abst.323	2.64E+01	2.64E+01
SP.Syn.Abst.324	2.59E+01	2.59E+01
SP.Syn.Abst.325	1.53E+01	1.53E+01
SP.Syn.Abst.326	4.31E+01	4.31E+01
SP.Syn.Abst.327	2.23E+01	2.23E+01
SP.Syn.Abst.328	6.07E+01	6.07E+01
SP.Syn.Abst.329	2.26E+01	2.26E+01
SP.Syn.Abst.330	4.05E+01	4.05E+01
SP.Syn.Abst.331	4.25E+01	4.25E+01
SP.Syn.Abst.332	3.42E+01	3.42E+01
SP.Syn.Abst.333	3.69E+01	3.69E+01
SP.Syn.Abst.334	4.80E+01	4.80E+01
SP.Syn.Abst.335	1.33E+01	1.33E+01
SP.Syn.Abst.336	3.64E+01	3.64E+01
SP.Syn.Abst.337	3.09E+01	3.09E+01
SP.Syn.Abst.338	2.32E+01	2.32E+01
SP.Syn.Abst.339	1.61E+01	1.61E+01
SP.Syn.Abst.340	3.68E+01	3.68E+01
SP.Syn.Abst.341	2.55E+01	2.55E+01
SP.Syn.Abst.342	1.87E+01	1.87E+01
SP.Syn.Abst.343	3.00E+01	3.00E+01
SP.Syn.Abst.344	1.33E+01	1.33E+01
SP.Syn.Abst.345	1.64E+01	1.64E+01
SP.Syn.Abst.346	2.41E+01	2.41E+01
SP.Syn.Abst.347	2.45E+01	2.45E+01
SP.Syn.Abst.348	1.87E+01	1.87E+01
SP.Syn.Abst.349	4.96E+01	4.96E+01
SP.Syn.Abst.350	4.05E+01	4.05E+01
SP.Syn.Abst.351	5.04E+01	5.04E+01
SP.Syn.Abst.352	3.68E+01	3.68E+01
SP.Syn.Abst.353	6.90E+01	6.90E+01
SP.Syn.Abst.354	3.55E+01	3.55E+01
SP.Syn.Abst.355	2.51E+01	2.51E+01
SP.Syn.Abst.356	3.40E+01	3.40E+01
SP.Syn.Abst.357	2.66E+01	2.66E+01
SP.Syn.Abst.358	3.28E+01	3.28E+01
SP.Syn.Abst.359	3.38E+01	3.38E+01
SP.Syn.Abst.360	1.71E+01	1.71E+01
SP.Syn.Abst.361	3.74E+01	3.74E+01
SP.Syn.Abst.362	1.81E+01	1.81E+01
SP.Syn.Abst.363	2.56E+01	2.56E+01
SP.Syn.Abst.364	2.94E+01	2.94E+01
SP.Syn.Abst.365	3.74E+01	3.74E+01
SP.Syn.Abst.366	2.36E+01	2.36E+01
SP.Syn.Abst.367	4.76E+01	4.76E+01
SP.Syn.Abst.368	1.74E+01	1.74E+01
SP.Syn.Abst.369	1.79E+01	1.79E+01
SP.Syn.Abst.370	3.15E+01	3.15E+01
SP.Syn.Abst.371	3.82E+01	3.82E+01
SP.Syn.Abst.372	1.53E+01	1.53E+01
SP.Syn.Abst.373	1.84E+01	1.84E+01
SP.Syn.Abst.374	3.12E+01	3.12E+01
SP.Syn.Abst.375	2.45E+01	2.45E+01
SP.Syn.Abst.376	2.83E+01	2.83E+01
SP.Syn.Abst.377	3.52E+01	3.52E+01
SP.Syn.Abst.378	2.71E+01	2.71E+01
SP.Syn.Abst.379	4.23E+01	4.23E+01
SP.Syn.Abst.380	3.93E+01	3.93E+01
SP.Syn.Abst.381	2.35E+01	2.35E+01
SP.Syn.Abst.382	2.26E+01	2.26E+01
SP.Syn.Abst.383	1.68E+01	1.68E+01
SP.Syn.Abst.384	3.09E+01	3.09E+01
SP.Syn.Abst.385	3.62E+01	3.62E+01
SP.Syn.Abst.386	3.74E+01	3.74E+01
SP.Syn.Abst.387	6.23E+01	6.23E+01
SP.Syn.Abst.388	5.03E+01	5.03E+01
SP.Syn.Abst.389	2.09E+01	2.09E+01
SP.Syn.Abst.390	1.83E+01	1.83E+01
SP.Syn.Abst.391	2.50E+01	2.50E+01
SP.Syn.Abst.392	3.67E+01	3.67E+01
SP.Syn.Abst.393	1.61E+01	1.61E+01
SP.Syn.Abst.394	2.63E+01	2.63E+01
SP.Syn.Abst.395	3.70E+01	3.70E+01
SP.Syn.Abst.396	1.84E+01	1.84E+01
SP.Syn.Abst.397	1.88E+01	1.88E+01
SP.Syn.Abst.398	2.46E+01	2.46E+01
SP.Syn.Abst.399	3.61E+01	3.61E+01
SP.Syn.Abst.400	6.58E+01	6.58E+01
SP.Syn.Abst.401	2.33E+01	2.33E+01
SP.Syn.Abst.402	2.87E+01	2.87E+01
SP.Syn.Abst.403	4.70E+01	4.70E+01
SP.Syn.Abst.404	5.13E+01	5.13E+01
SP.Syn.Abst.405	2.13E+01	2.13E+01
SP.Syn.Abst.406	3.05E+01	3.05E+01
SP.Syn.Abst.407	3.74E+01	3.74E+01
SP.Syn.Abst.408	3.24E+01	3.24E+01
SP.Syn.Abst.409	2.01E+01	2.01E+01
SP.Syn.Abst.410	2.64E+01	2.64E+01
SP.Syn.Abst.411	3.53E+01	3.53E+01
SP.Syn.Abst.412	2.70E+01	2.70E+01
SP.Syn.Abst.413	3.07E+01	3.07E+01
SP.Syn.Abst.414	2.50E+01	2.50E+01
SP.Syn.Abst.415	2.31E+01	2.31E+01
SP.Syn.Abst.416	1.52E+01	1.52E+01
SP.Syn.Abst.417	2.70E+01	2.70E+01
SP.Syn.Abst.418	2.68E+01	2.68E+01
SP.Syn.Abst.419	3.44E+01	3.44E+01
SP.Syn.Abst.420	3.70E+01	3.70E+01
SP.Syn.Abst.421	3.29E+01	3.29E+01
SP.Syn.Abst.422	4.51E+01	4.51E+01
SP.Syn.Abst.423	2.38E+01	2.38E+01
SP.Syn.Abst.424	2.78E+01	2.78E+01
SP.Syn.Abst.425	2.13E+01	2.13E+01
SP.Syn.Abst.426	2.45E+01	2.45E+01
SP.Syn.Abst.427	1.72E+01	1.72E+01
SP.Syn.Abst.428	5.73E+01	5.73E+01
SP.Syn.Abst.429	2.60E+01	2.60E+01
SP.Syn.Abst.430	1.92E+01	1.92E+01
SP.Syn.Abst.431	2.01E+01	2.01E+01
SP.Syn.Abst.432	1.99E+01	1.99E+01
SP.Syn.Abst.433	3.16E+01	3.16E+01
SP.Syn.Abst.434	2.56E+01	2.56E+01
SP.Syn.Abst.435	2.39E+01	2.39E+01
SP.Syn.Abst.436	4.50E+01	4.50E+01
SP.Syn.Abst.437	1.84E+01	1.84E+01
SP.Syn.Abst.438	3.27E+01	3.27E+01
SP.Syn.Abst.439	2.42E+01	2.42E+01
SP.Syn.Abst.440	1.73E+01	1.73E+01
SP.Syn.Abst.441	3.11E+01	3.11E+01
SP.Syn.Abst.442	2.12E+01	2.12E+01
SP.Syn.Abst.443	2.98E+01	2.98E+01
SP.Syn.Abst.444	2.20E+01	2.20E+01
SP.Syn.Abst.445	3.51E+01	3.51E+01
SP.Syn.Abst.446	2.42E+01	2.42E+01
SP.Syn.Abst.447	2.48E+01	2.48E+01
SP.Syn.Abst.448	2.27E+01	2.27E+01
SP.Syn.Abst.449	3.36E+01	3.36E+01
SP.Syn.Abst.450	2.70E+01	2.70E+01
SP.Syn.Abst.451	2.51E+01	2.51E+01
SP.Syn.Abst.452	2.66E+01	2.66E+01
SP.Syn.Abst.453	2.53E+01	2.53E+01
SP.Syn.Abst.454	4.03E+01	4.03E+01
SP.Syn.Abst.455	3.18E+01	3.18E+01
SP.Syn.Abst.456	3.01E+01	3.01E+01
SP.Syn.Abst.457	2.87E+01	2.87E+01
SP.Syn.Abst.458	2.43E+01	2.43E+01
SP.Syn.Abst.459	2.39E+01	2.39E+01
SP.Syn.Abst.460	2.37E+01	2.37E+01
SP.Syn.Abst.461	2.24E+01	2.24E+01
SP.Syn.Abst.462	3.16E+01	3.16E+01
SP.Syn.Abst.463	2.20E+01	2.20E+01
SP.Syn.Abst.464	2.19E+01	2.19E+01
SP.Syn.Abst.465	2.83E+01	2.83E+01
SP.Syn.Abst.466	3.39E+01	3.39E+01
SP.Syn.Abst.467	3.10E+01	3.10E+01
SP.Syn.Abst.468	2.33E+01	2.33E+01
SP.Syn.Abst.469	1.35E+01	1.35E+01
SP.Syn.Abst.470	4.65E+01	4.65E+01
SP.Syn.Abst.471	2.74E+01	2.74E+01
SP.Syn.Abst.472	4.98E+01	4.98E+01
SP.Syn.Abst.473	4.55E+01	4.55E+01
SP.Syn.Abst.474	2.74E+01	2.74E+01
SP.Syn.Abst.475	2.57E+01	2.57E+01
SP.Syn.Abst.476	3.63E+01	3.63E+01
SP.Syn.Abst.477	2.70E+01	2.70E+01
SP.Syn.Abst.478	3.04E+01	3.04E+01
SP.Syn.Abst.479	1.94E+01	1.94E+01
SP.Syn.Abst.480	2.52E+01	2.52E+01
SP.Syn.Abst.481	2.27E+01	2.27E+01
SP.Syn.Abst.482	3.75E+01	3.75E+01
SP.Syn.Abst.483	6.64E+01	6.64E+01
SP.Syn.Abst.484	2.96E+01	2.96E+01
SP.Syn.Abst.485	2.23E+01	2.23E+01
SP.Syn.Abst.486	3.96E+01	3.96E+01
SP.Syn.Abst.487	1.67E+01	1.67E+01
SP.Syn.Abst.488	1.19E+01	1.19E+01
SP.Syn.Abst.489	3.25E+01	3.25E+01
SP.Syn.Abst.490	1.80E+01	1.80E+01
SP.Syn.Abst.491	1.78E+01	1.78E+01
SP.Syn.Abst.492	2.28E+01	2.28E+01
SP.Syn.Abst.493	2.49E+01	2.49E+01
SP.Syn.Abst.494	2.26E+01	2.26E+01
SP.Syn.Abst.495	3.09E+01	3.09E+01
SP.Syn.Abst.496	1.92E+01	1.92E+01
SP.Syn.Abst.497	2.15E+01	2.15E+01
SP.Syn.Abst.498	3.61E+01	3.61E+01
SP.Syn.Abst.499	3.07E+01	3.07E+01
SP.Syn.Abst.500	4.87E+01	4.87E+01
SP.Syn.Abst.501	2.54E+01	2.54E+01
SP.Syn.Abst.502	2.61E+01	2.61E+01
SP.Syn.Abst.503	1.65E+01	1.65E+01
SP.Syn.Abst.504	2.80E+01	2.80E+01
SP.Syn.Abst.505	3.09E+01	3.09E+01
SP.Syn.Abst.506	3.55E+01	3.55E+01
SP.Syn.Abst.507	1.59E+01	1.59E+01
SP.Syn.Abst.508	3.81E+01	3.81E+01
SP.Syn.Abst.509	2.45E+01	2.45E+01
SP.Syn.Abst.510	3.01E+01	3.01E+01
SP.Syn.Abst.511	2.64E+01	2.64E+01
SP.Syn.Abst.512	2.95E+01	2.95E+01
SP.Syn.Abst.513	2.81E+01	2.81E+01
SP.Syn.Abst.514	2.38E+01	2.38E+01
SP.Syn.Abst.515	4.55E+01	4.55E+01
SP.Syn.Abst.516	2.45E+01	2.45E+01
SP.Syn.Abst.517	3.51E+01	3.51E+01
