Samples	SBS96A	SBS96B
SP.Syn.Abst.94	2665	4387
SP.Syn.Abst.95	10416	10091
SP.Syn.Abst.96	4290	3528
SP.Syn.Abst.97	3133	4741
SP.Syn.Abst.98	7032	6044
SP.Syn.Abst.99	5036	5572
SP.Syn.Abst.100	4063	8278
SP.Syn.Abst.101	3459	3415
SP.Syn.Abst.102	4757	2206
SP.Syn.Abst.103	4132	5365
SP.Syn.Abst.104	2838	4539
SP.Syn.Abst.105	5109	8026
SP.Syn.Abst.106	3333	364
SP.Syn.Abst.107	3988	3744
SP.Syn.Abst.108	2942	315
SP.Syn.Abst.109	3109	3216
SP.Syn.Abst.110	8601	2795
SP.Syn.Abst.111	4832	4666
SP.Syn.Abst.112	5179	4093
SP.Syn.Abst.113	5695	2152
SP.Syn.Abst.114	2631	4411
SP.Syn.Abst.115	4961	4521
SP.Syn.Abst.116	4362	2413
SP.Syn.Abst.117	4924	7630
SP.Syn.Abst.118	4129	2056
SP.Syn.Abst.119	5404	4940
SP.Syn.Abst.120	4112	3236
SP.Syn.Abst.121	9142	10088
SP.Syn.Abst.122	5372	618
SP.Syn.Abst.123	5909	4304
SP.Syn.Abst.124	7484	3384
SP.Syn.Abst.125	8216	13078
SP.Syn.Abst.126	5418	7796
SP.Syn.Abst.127	4451	8189
SP.Syn.Abst.128	3986	2017
SP.Syn.Abst.129	3975	2451
SP.Syn.Abst.130	4495	3036
SP.Syn.Abst.131	4873	1663
SP.Syn.Abst.132	6787	7128
SP.Syn.Abst.133	2342	3978
SP.Syn.Abst.134	3582	6892
SP.Syn.Abst.135	9609	5742
SP.Syn.Abst.136	7554	3178
SP.Syn.Abst.137	1615	1119
SP.Syn.Abst.138	6836	9615
SP.Syn.Abst.139	4858	6551
SP.Syn.Abst.140	4439	474
SP.Syn.Abst.141	3935	3350
SP.Syn.Abst.142	3700	6340
SP.Syn.Abst.143	2999	7645
SP.Syn.Abst.144	2383	3838
SP.Syn.Abst.145	4612	4962
SP.Syn.Abst.146	3574	4920
SP.Syn.Abst.147	6700	4411
SP.Syn.Abst.148	3723	4521
SP.Syn.Abst.149	5383	6024
SP.Syn.Abst.150	3002	6730
SP.Syn.Abst.151	7143	3647
SP.Syn.Abst.152	3872	10621
SP.Syn.Abst.153	4493	482
SP.Syn.Abst.154	18177	22778
SP.Syn.Abst.155	7381	4215
SP.Syn.Abst.156	4501	3114
SP.Syn.Abst.157	3484	3602
SP.Syn.Abst.158	8884	3953
SP.Syn.Abst.159	4205	10475
SP.Syn.Abst.160	4593	2563
SP.Syn.Abst.161	3466	8077
SP.Syn.Abst.162	3898	2821
SP.Syn.Abst.163	4621	8475
SP.Syn.Abst.164	5624	4676
SP.Syn.Abst.165	3528	3107
SP.Syn.Abst.166	2012	9625
SP.Syn.Abst.167	5831	3880
SP.Syn.Abst.168	4120	3439
SP.Syn.Abst.169	3936	432
SP.Syn.Abst.170	2531	2854
SP.Syn.Abst.171	4486	3003
SP.Syn.Abst.172	3041	2558
SP.Syn.Abst.173	5379	3323
SP.Syn.Abst.174	7699	793
SP.Syn.Abst.175	4109	2541
SP.Syn.Abst.176	3075	333
SP.Syn.Abst.177	7468	3614
SP.Syn.Abst.178	4944	477
SP.Syn.Abst.179	5644	3730
SP.Syn.Abst.180	6121	6298
SP.Syn.Abst.181	3278	2839
SP.Syn.Abst.182	4493	1531
SP.Syn.Abst.183	6441	4353
SP.Syn.Abst.184	2216	244
SP.Syn.Abst.185	5952	4955
SP.Syn.Abst.186	2074	2794
SP.Syn.Abst.187	4988	5367
SP.Syn.Abst.188	3496	3197
SP.Syn.Abst.189	1844	2156
SP.Syn.Abst.190	8533	6070
SP.Syn.Abst.191	4577	3710
SP.Syn.Abst.192	3346	5349
SP.Syn.Abst.193	4401	3447
SP.Syn.Abst.194	2710	3324
SP.Syn.Abst.195	7986	776
SP.Syn.Abst.196	9684	7033
SP.Syn.Abst.197	5417	6781
SP.Syn.Abst.198	5397	3071
SP.Syn.Abst.199	2775	2417
SP.Syn.Abst.200	3647	2308
SP.Syn.Abst.201	3087	3987
SP.Syn.Abst.202	4078	2083
SP.Syn.Abst.203	5483	4909
SP.Syn.Abst.204	5340	4204
SP.Syn.Abst.205	2149	3522
SP.Syn.Abst.206	5125	4250
SP.Syn.Abst.207	7391	5089
SP.Syn.Abst.208	3383	6756
SP.Syn.Abst.209	4755	3051
SP.Syn.Abst.210	7574	1669
SP.Syn.Abst.211	3241	13953
SP.Syn.Abst.212	6145	2069
SP.Syn.Abst.213	8357	4122
SP.Syn.Abst.214	2567	2193
SP.Syn.Abst.215	3611	7577
SP.Syn.Abst.216	6381	4731
SP.Syn.Abst.217	9094	2110
SP.Syn.Abst.218	7247	4712
SP.Syn.Abst.219	1159	7585
SP.Syn.Abst.220	2760	14302
SP.Syn.Abst.221	5259	4708
SP.Syn.Abst.222	4720	1658
SP.Syn.Abst.223	2447	2193
SP.Syn.Abst.224	3188	4642
SP.Syn.Abst.225	3263	4902
SP.Syn.Abst.226	5483	5251
SP.Syn.Abst.227	2975	6138
SP.Syn.Abst.228	5638	657
SP.Syn.Abst.229	5808	2930
SP.Syn.Abst.230	8237	3689
SP.Syn.Abst.231	3398	2815
SP.Syn.Abst.232	6041	3414
SP.Syn.Abst.233	3558	4248
SP.Syn.Abst.234	5822	5391
SP.Syn.Abst.235	4765	10528
SP.Syn.Abst.236	10193	5871
SP.Syn.Abst.237	5667	3947
SP.Syn.Abst.238	10264	6760
SP.Syn.Abst.239	3840	7081
SP.Syn.Abst.240	4693	4502
SP.Syn.Abst.241	3646	7324
SP.Syn.Abst.242	3791	4464
SP.Syn.Abst.243	2466	3382
SP.Syn.Abst.244	8657	1976
SP.Syn.Abst.245	9749	4402
SP.Syn.Abst.246	12397	29592
SP.Syn.Abst.247	4542	4342
SP.Syn.Abst.248	3444	1794
SP.Syn.Abst.249	8400	6355
SP.Syn.Abst.250	3992	2580
SP.Syn.Abst.251	5943	11265
SP.Syn.Abst.252	9808	4953
SP.Syn.Abst.253	4905	5248
SP.Syn.Abst.254	3689	4653
SP.Syn.Abst.255	3590	7736
SP.Syn.Abst.256	11757	4285
SP.Syn.Abst.257	3939	4479
SP.Syn.Abst.258	4030	3511
SP.Syn.Abst.259	2783	3173
SP.Syn.Abst.260	4958	2559
SP.Syn.Abst.261	4487	4957
SP.Syn.Abst.262	7954	814
SP.Syn.Abst.263	3271	3520
SP.Syn.Abst.264	6292	3332
SP.Syn.Abst.265	64	3161
SP.Syn.Abst.266	5973	5148
SP.Syn.Abst.267	5904	2871
SP.Syn.Abst.268	5473	4622
SP.Syn.Abst.269	3115	4351
SP.Syn.Abst.270	6455	7777
SP.Syn.Abst.271	4612	2767
SP.Syn.Abst.272	2749	2546
SP.Syn.Abst.273	4949	4291
SP.Syn.Abst.274	3385	4075
SP.Syn.Abst.275	5227	5584
SP.Syn.Abst.276	11599	4331
SP.Syn.Abst.277	2657	1825
SP.Syn.Abst.278	5943	5336
SP.Syn.Abst.279	2031	772
SP.Syn.Abst.280	5387	4136
SP.Syn.Abst.281	2405	14446
SP.Syn.Abst.282	6757	12733
SP.Syn.Abst.283	2598	3386
SP.Syn.Abst.284	4073	1748
SP.Syn.Abst.285	3751	3542
SP.Syn.Abst.286	1874	2784
SP.Syn.Abst.287	5757	1421
SP.Syn.Abst.288	7795	2669
SP.Syn.Abst.289	2735	272
SP.Syn.Abst.290	3171	7930
SP.Syn.Abst.291	5421	535
SP.Syn.Abst.292	2854	3823
SP.Syn.Abst.293	4102	8339
SP.Syn.Abst.294	5073	1985
SP.Syn.Abst.295	2471	6303
SP.Syn.Abst.296	2151	3926
SP.Syn.Abst.297	9667	7991
SP.Syn.Abst.298	8607	5004
SP.Syn.Abst.299	4376	2046
SP.Syn.Abst.300	5990	2526
SP.Syn.Abst.301	3645	3690
SP.Syn.Abst.302	6242	5016
SP.Syn.Abst.303	3784	8801
SP.Syn.Abst.304	4617	8817
SP.Syn.Abst.305	5784	3078
SP.Syn.Abst.306	3461	4098
SP.Syn.Abst.307	11389	3483
SP.Syn.Abst.308	4582	2243
SP.Syn.Abst.309	5132	5883
SP.Syn.Abst.310	2385	2004
SP.Syn.Abst.311	4692	12075
SP.Syn.Abst.312	2643	3996
SP.Syn.Abst.313	5639	4278
SP.Syn.Abst.314	5268	752
SP.Syn.Abst.315	4679	2673
SP.Syn.Abst.316	6386	4225
SP.Syn.Abst.317	8359	2705
SP.Syn.Abst.318	5638	3064
SP.Syn.Abst.319	3375	2127
SP.Syn.Abst.320	3038	3678
SP.Syn.Abst.321	3460	1862
SP.Syn.Abst.322	6634	2687
SP.Syn.Abst.323	5129	4489
SP.Syn.Abst.324	5730	3051
SP.Syn.Abst.325	2509	2308
SP.Syn.Abst.326	9484	7225
SP.Syn.Abst.327	3945	2470
SP.Syn.Abst.328	3310	16636
SP.Syn.Abst.329	4821	2008
SP.Syn.Abst.330	8846	5863
SP.Syn.Abst.331	5783	10050
SP.Syn.Abst.332	6560	6640
SP.Syn.Abst.333	8615	2307
SP.Syn.Abst.334	3036	13659
SP.Syn.Abst.335	1627	1743
SP.Syn.Abst.336	8397	4250
SP.Syn.Abst.337	4751	6516
SP.Syn.Abst.338	4340	3998
SP.Syn.Abst.339	2717	1864
SP.Syn.Abst.340	7920	6064
SP.Syn.Abst.341	5727	2125
SP.Syn.Abst.342	2421	2262
SP.Syn.Abst.343	2864	7394
SP.Syn.Abst.344	1616	2653
SP.Syn.Abst.345	2350	2964
SP.Syn.Abst.346	3852	4080
SP.Syn.Abst.347	5467	2237
SP.Syn.Abst.348	3731	384
SP.Syn.Abst.349	12176	3322
SP.Syn.Abst.350	8157	5434
SP.Syn.Abst.351	3513	14426
SP.Syn.Abst.352	4417	8734
SP.Syn.Abst.353	5713	17810
SP.Syn.Abst.354	4460	8824
SP.Syn.Abst.355	2634	5549
SP.Syn.Abst.356	7037	707
SP.Syn.Abst.357	5954	2230
SP.Syn.Abst.358	7490	2872
SP.Syn.Abst.359	2396	8710
SP.Syn.Abst.360	3038	1885
SP.Syn.Abst.361	2257	8935
SP.Syn.Abst.362	4165	1888
SP.Syn.Abst.363	4834	3028
SP.Syn.Abst.364	6585	2174
SP.Syn.Abst.365	9014	4551
SP.Syn.Abst.366	4082	4228
SP.Syn.Abst.367	9532	8049
SP.Syn.Abst.368	2552	3258
SP.Syn.Abst.369	3690	432
SP.Syn.Abst.370	6997	5230
SP.Syn.Abst.371	4193	10602
SP.Syn.Abst.372	3308	1102
SP.Syn.Abst.373	3038	4181
SP.Syn.Abst.374	5572	4231
SP.Syn.Abst.375	3760	4626
SP.Syn.Abst.376	3007	6558
SP.Syn.Abst.377	7510	2125
SP.Syn.Abst.378	4175	5039
SP.Syn.Abst.379	5966	10930
SP.Syn.Abst.380	6610	10089
SP.Syn.Abst.381	3843	4386
SP.Syn.Abst.382	3180	3908
SP.Syn.Abst.383	2520	3237
SP.Syn.Abst.384	4855	5823
SP.Syn.Abst.385	6367	8298
SP.Syn.Abst.386	7259	6103
SP.Syn.Abst.387	10238	14948
SP.Syn.Abst.388	8572	9065
SP.Syn.Abst.389	3541	2782
SP.Syn.Abst.390	2963	2210
SP.Syn.Abst.391	5610	2032
SP.Syn.Abst.392	7089	7889
SP.Syn.Abst.393	2205	2285
SP.Syn.Abst.394	3933	4903
SP.Syn.Abst.395	8754	1033
SP.Syn.Abst.396	3292	2395
SP.Syn.Abst.397	2657	3656
SP.Syn.Abst.398	4704	3159
SP.Syn.Abst.399	7031	4725
SP.Syn.Abst.400	5634	18482
SP.Syn.Abst.401	2291	5671
SP.Syn.Abst.402	2664	7251
SP.Syn.Abst.403	10517	5406
SP.Syn.Abst.404	11186	6255
SP.Syn.Abst.405	2880	4296
SP.Syn.Abst.406	6181	4011
SP.Syn.Abst.407	5010	9449
SP.Syn.Abst.408	5991	5580
SP.Syn.Abst.409	1782	4659
SP.Syn.Abst.410	5952	2806
SP.Syn.Abst.411	6563	6286
SP.Syn.Abst.412	5078	3255
SP.Syn.Abst.413	5045	5204
SP.Syn.Abst.414	4818	497
SP.Syn.Abst.415	3688	3516
SP.Syn.Abst.416	2196	2662
SP.Syn.Abst.417	5533	4324
SP.Syn.Abst.418	5627	4321
SP.Syn.Abst.419	5629	7197
SP.Syn.Abst.420	7938	4979
SP.Syn.Abst.421	6828	3884
SP.Syn.Abst.422	8971	4195
SP.Syn.Abst.423	3874	4101
SP.Syn.Abst.424	6147	2020
SP.Syn.Abst.425	4001	3280
SP.Syn.Abst.426	3804	3885
SP.Syn.Abst.427	3432	325
SP.Syn.Abst.428	9531	14381
SP.Syn.Abst.429	4842	2345
SP.Syn.Abst.430	3907	462
SP.Syn.Abst.431	3541	1783
SP.Syn.Abst.432	4386	476
SP.Syn.Abst.433	4543	7493
SP.Syn.Abst.434	5447	2582
SP.Syn.Abst.435	3514	4040
SP.Syn.Abst.436	9380	7957
SP.Syn.Abst.437	3049	2661
SP.Syn.Abst.438	6881	3917
SP.Syn.Abst.439	4935	537
SP.Syn.Abst.440	3048	2930
SP.Syn.Abst.441	6163	3792
SP.Syn.Abst.442	4300	1960
SP.Syn.Abst.443	4560	6056
SP.Syn.Abst.444	4671	2349
SP.Syn.Abst.445	7490	5623
SP.Syn.Abst.446	4359	4018
SP.Syn.Abst.447	5082	2104
SP.Syn.Abst.448	3709	3132
SP.Syn.Abst.449	2400	8549
SP.Syn.Abst.450	4568	4507
SP.Syn.Abst.451	3970	5587
SP.Syn.Abst.452	5977	3033
SP.Syn.Abst.453	3587	6049
SP.Syn.Abst.454	1681	9359
SP.Syn.Abst.455	7496	2832
SP.Syn.Abst.456	3832	6995
SP.Syn.Abst.457	5126	5748
SP.Syn.Abst.458	3061	4592
SP.Syn.Abst.459	4411	4760
SP.Syn.Abst.460	3786	4834
SP.Syn.Abst.461	3902	4626
SP.Syn.Abst.462	4772	7575
SP.Syn.Abst.463	4265	3186
SP.Syn.Abst.464	4566	1663
SP.Syn.Abst.465	4848	4391
SP.Syn.Abst.466	5416	7561
SP.Syn.Abst.467	6416	4571
SP.Syn.Abst.468	1640	6536
SP.Syn.Abst.469	2424	228
SP.Syn.Abst.470	8036	11356
SP.Syn.Abst.471	3885	6332
SP.Syn.Abst.472	4579	11881
SP.Syn.Abst.473	9635	2710
SP.Syn.Abst.474	5635	4030
SP.Syn.Abst.475	3836	5249
SP.Syn.Abst.476	6501	6488
SP.Syn.Abst.477	4093	6337
SP.Syn.Abst.478	4681	6287
SP.Syn.Abst.479	2290	4201
SP.Syn.Abst.480	3189	6243
SP.Syn.Abst.481	4528	3820
SP.Syn.Abst.482	8031	2934
SP.Syn.Abst.483	14585	13087
SP.Syn.Abst.484	4125	6856
SP.Syn.Abst.485	4235	2011
SP.Syn.Abst.486	5357	9218
SP.Syn.Abst.487	3315	367
SP.Syn.Abst.488	2214	1554
SP.Syn.Abst.489	4557	7136
SP.Syn.Abst.490	3569	1138
SP.Syn.Abst.491	2471	3548
SP.Syn.Abst.492	1309	5759
SP.Syn.Abst.493	4571	3773
SP.Syn.Abst.494	3837	2163
SP.Syn.Abst.495	6354	2738
SP.Syn.Abst.496	2972	2845
SP.Syn.Abst.497	4338	3337
SP.Syn.Abst.498	7783	2735
SP.Syn.Abst.499	5261	7125
SP.Syn.Abst.500	10443	6111
SP.Syn.Abst.501	6098	3122
SP.Syn.Abst.502	2818	5965
SP.Syn.Abst.503	2433	2257
SP.Syn.Abst.504	5754	2641
SP.Syn.Abst.505	6762	3769
SP.Syn.Abst.506	5444	8199
SP.Syn.Abst.507	2358	3050
SP.Syn.Abst.508	4658	8784
SP.Syn.Abst.509	5246	730
SP.Syn.Abst.510	5229	6042
SP.Syn.Abst.511	6172	4566
SP.Syn.Abst.512	5325	5243
SP.Syn.Abst.513	2566	6303
SP.Syn.Abst.514	4159	3490
SP.Syn.Abst.515	4389	13235
SP.Syn.Abst.516	4699	4562
SP.Syn.Abst.517	7647	774
SP.Syn.Abst.518	5410	610
SP.Syn.Abst.519	4726	5779
SP.Syn.Abst.520	4081	5188
SP.Syn.Abst.521	2063	218
SP.Syn.Abst.522	4817	14206
SP.Syn.Abst.523	3481	2337
SP.Syn.Abst.524	2261	1359
SP.Syn.Abst.525	5079	6552
SP.Syn.Abst.526	3040	5869
SP.Syn.Abst.527	9377	3532
SP.Syn.Abst.528	5780	8144
SP.Syn.Abst.529	4114	3862
SP.Syn.Abst.530	3132	5697
SP.Syn.Abst.531	1369	124
SP.Syn.Abst.532	3523	3436
SP.Syn.Abst.533	6256	4889
SP.Syn.Abst.534	3958	2719
SP.Syn.Abst.535	8595	3809
SP.Syn.Abst.536	4006	2769
SP.Syn.Abst.537	4349	4953
SP.Syn.Abst.538	5506	3450
SP.Syn.Abst.539	5446	8393
SP.Syn.Abst.540	5194	11187
SP.Syn.Abst.541	3958	3871
SP.Syn.Abst.542	1904	5811
SP.Syn.Abst.543	8247	6764
SP.Syn.Abst.544	4264	3288
SP.Syn.Abst.545	5806	2755
SP.Syn.Abst.546	5310	6291
SP.Syn.Abst.547	2752	5830
SP.Syn.Abst.548	2534	3062
SP.Syn.Abst.549	6063	1662
SP.Syn.Abst.550	2213	3171
SP.Syn.Abst.551	5892	3194
SP.Syn.Abst.552	8698	3319
SP.Syn.Abst.553	3744	2290
SP.Syn.Abst.554	2000	1483
SP.Syn.Abst.555	4806	3769
SP.Syn.Abst.556	3777	422
SP.Syn.Abst.557	7484	4175
SP.Syn.Abst.558	5965	3194
SP.Syn.Abst.559	3917	7846
SP.Syn.Abst.560	2753	5614
SP.Syn.Abst.561	5832	3860
SP.Syn.Abst.562	6144	3769
SP.Syn.Abst.563	4113	8064
SP.Syn.Abst.564	4628	15132
SP.Syn.Abst.565	10686	4142
SP.Syn.Abst.566	10871	7397
SP.Syn.Abst.567	3489	3777
SP.Syn.Abst.568	3741	4910
SP.Syn.Abst.569	3837	3338
SP.Syn.Abst.570	2734	7025
SP.Syn.Abst.571	8864	2962
SP.Syn.Abst.572	9424	2951
SP.Syn.Abst.573	2050	3317
SP.Syn.Abst.574	3496	1793
SP.Syn.Abst.575	8073	2935
SP.Syn.Abst.576	6687	5442
SP.Syn.Abst.577	5083	4913
SP.Syn.Abst.578	4227	5426
SP.Syn.Abst.579	2698	5320
SP.Syn.Abst.580	7551	4430
SP.Syn.Abst.581	3047	2719
SP.Syn.Abst.582	2520	5462
SP.Syn.Abst.583	2834	2477
SP.Syn.Abst.584	6105	2226
SP.Syn.Abst.585	4860	7061
SP.Syn.Abst.586	6654	3045
SP.Syn.Abst.587	4872	3886
SP.Syn.Abst.588	3591	5063
SP.Syn.Abst.589	5080	4494
SP.Syn.Abst.590	5054	2707
SP.Syn.Abst.591	2143	2019
SP.Syn.Abst.592	8363	20336
SP.Syn.Abst.593	2670	3028
SP.Syn.Abst.594	3762	7188
SP.Syn.Abst.595	4076	3910
SP.Syn.Abst.596	4122	4480
SP.Syn.Abst.597	2456	2321
SP.Syn.Abst.598	3456	7101
SP.Syn.Abst.599	4004	2243
SP.Syn.Abst.600	2587	2003
SP.Syn.Abst.601	5532	3486
SP.Syn.Abst.602	7711	5365
SP.Syn.Abst.603	3717	5393
SP.Syn.Abst.604	3257	366
SP.Syn.Abst.605	1952	3117
SP.Syn.Abst.606	5601	6900
SP.Syn.Abst.607	7374	5899
SP.Syn.Abst.608	2245	3523
SP.Syn.Abst.609	3473	5354
SP.Syn.Abst.610	5998	2468
SP.Syn.Abst.611	3955	9123
SP.Syn.Abst.612	6362	2340
SP.Syn.Abst.613	3004	5432
SP.Syn.Abst.614	4285	418
SP.Syn.Abst.615	6185	4241
SP.Syn.Abst.616	3578	1767
SP.Syn.Abst.617	3556	2414
SP.Syn.Abst.618	2498	13717
SP.Syn.Abst.619	8598	7725
SP.Syn.Abst.620	6262	3786
SP.Syn.Abst.621	7365	3083
SP.Syn.Abst.622	5064	3209
SP.Syn.Abst.623	5864	5847
SP.Syn.Abst.624	5175	9945
SP.Syn.Abst.625	5364	570
SP.Syn.Abst.626	4389	3841
SP.Syn.Abst.627	2090	2967
SP.Syn.Abst.628	4094	2837
SP.Syn.Abst.629	4197	3816
SP.Syn.Abst.630	3597	3056
SP.Syn.Abst.631	4185	8706
SP.Syn.Abst.632	4071	417
SP.Syn.Abst.633	5120	13215
SP.Syn.Abst.634	7591	5346
SP.Syn.Abst.635	1456	5359
SP.Syn.Abst.636	4168	3551
SP.Syn.Abst.637	5165	2768
SP.Syn.Abst.638	4217	6446
SP.Syn.Abst.639	4768	10936
SP.Syn.Abst.640	4458	6078
SP.Syn.Abst.641	2937	1335
SP.Syn.Abst.642	402	2948
SP.Syn.Abst.643	5982	7517
SP.Syn.Abst.644	2510	4297
SP.Syn.Abst.645	3454	1886
SP.Syn.Abst.646	432	3732
SP.Syn.Abst.647	5474	5515
SP.Syn.Abst.648	5459	5594
SP.Syn.Abst.649	4156	2898
SP.Syn.Abst.650	2991	3827
SP.Syn.Abst.651	5617	3423
SP.Syn.Abst.652	4815	5678
SP.Syn.Abst.653	3213	2796
SP.Syn.Abst.654	1727	7521
SP.Syn.Abst.655	5197	3512
SP.Syn.Abst.656	2140	8203
SP.Syn.Abst.657	2281	2310
SP.Syn.Abst.658	6069	11859
SP.Syn.Abst.659	2240	4148
SP.Syn.Abst.660	4140	2316
SP.Syn.Abst.661	5850	3038
SP.Syn.Abst.662	2457	10662
SP.Syn.Abst.663	5614	3965
SP.Syn.Abst.664	4034	2796
SP.Syn.Abst.665	4473	2533
SP.Syn.Abst.666	3024	2629
SP.Syn.Abst.667	4433	7219
SP.Syn.Abst.668	2509	1286
SP.Syn.Abst.669	5768	8831
SP.Syn.Abst.670	2177	6662
SP.Syn.Abst.671	2895	4625
SP.Syn.Abst.672	3968	13812
SP.Syn.Abst.673	3738	6236
SP.Syn.Abst.674	2323	6152
SP.Syn.Abst.675	4047	5460
SP.Syn.Abst.676	4302	1744
SP.Syn.Abst.677	6393	4737
SP.Syn.Abst.678	8671	6361
SP.Syn.Abst.679	5913	4313
SP.Syn.Abst.680	4549	4977
SP.Syn.Abst.681	5051	3480
SP.Syn.Abst.682	5313	2644
SP.Syn.Abst.683	3319	3120
SP.Syn.Abst.684	3473	3651
SP.Syn.Abst.685	2082	4604
SP.Syn.Abst.686	9535	4980
SP.Syn.Abst.687	5415	5583
SP.Syn.Abst.688	6179	3162
SP.Syn.Abst.689	10632	5731
SP.Syn.Abst.690	4227	5810
SP.Syn.Abst.691	4511	13327
SP.Syn.Abst.692	2711	4146
SP.Syn.Abst.693	3052	1812
SP.Syn.Abst.694	5942	8320
SP.Syn.Abst.695	6362	7715
SP.Syn.Abst.696	13368	6586
SP.Syn.Abst.697	2101	13963
SP.Syn.Abst.698	5366	10530
SP.Syn.Abst.699	6873	5250
SP.Syn.Abst.700	2880	2785
SP.Syn.Abst.701	4259	6087
SP.Syn.Abst.702	2802	3154
SP.Syn.Abst.703	2371	4423
SP.Syn.Abst.704	8434	2155
SP.Syn.Abst.705	4215	1966
SP.Syn.Abst.706	4909	2127
SP.Syn.Abst.707	4249	1900
SP.Syn.Abst.708	3537	1649
SP.Syn.Abst.709	13026	5808
SP.Syn.Abst.710	2189	8860
SP.Syn.Abst.711	3801	5649
SP.Syn.Abst.712	4228	4571
SP.Syn.Abst.713	4729	5212
SP.Syn.Abst.714	3385	1556
SP.Syn.Abst.715	7036	3902
SP.Syn.Abst.716	6384	5325
SP.Syn.Abst.717	5997	7061
SP.Syn.Abst.718	2722	11708
SP.Syn.Abst.719	2686	2987
SP.Syn.Abst.720	5316	2413
SP.Syn.Abst.721	5257	3111
SP.Syn.Abst.722	4461	4222
SP.Syn.Abst.723	5220	6598
SP.Syn.Abst.724	4549	6970
SP.Syn.Abst.725	6416	5453
SP.Syn.Abst.726	4008	3799
SP.Syn.Abst.727	3007	2990
SP.Syn.Abst.728	5225	4866
SP.Syn.Abst.729	3607	22104
SP.Syn.Abst.730	3060	2476
SP.Syn.Abst.731	6080	2331
SP.Syn.Abst.732	3228	3353
SP.Syn.Abst.733	3491	2288
SP.Syn.Abst.734	8092	1890
SP.Syn.Abst.735	3151	1401
SP.Syn.Abst.736	3956	9880
SP.Syn.Abst.737	4745	5049
