Samples	SBS96A	SBS96B	SBS96C
SP.Syn.Abst.196	6320	9577	820
SP.Syn.Abst.197	5939	4213	2046
SP.Syn.Abst.198	2785	5553	130
SP.Syn.Abst.199	2150	2573	469
SP.Syn.Abst.200	2093	3762	100
SP.Syn.Abst.201	3564	2901	609
SP.Syn.Abst.202	1635	2197	2329
SP.Syn.Abst.203	4453	5720	219
SP.Syn.Abst.204	3466	2935	3143
SP.Syn.Abst.205	3145	1969	557
SP.Syn.Abst.206	3809	4986	580
SP.Syn.Abst.207	4474	6558	1448
SP.Syn.Abst.208	6077	3364	698
SP.Syn.Abst.209	2631	3865	1310
SP.Syn.Abst.210	1321	6115	1807
SP.Syn.Abst.211	12468	2756	1970
SP.Syn.Abst.212	1797	5636	781
SP.Syn.Abst.213	3683	8139	657
SP.Syn.Abst.214	1989	2667	104
SP.Syn.Abst.215	6804	3507	877
SP.Syn.Abst.216	4229	6134	749
SP.Syn.Abst.217	1591	6601	3012
SP.Syn.Abst.218	4273	7481	205
SP.Syn.Abst.219	6674	246	1824
SP.Syn.Abst.220	12877	2917	1268
SP.Syn.Abst.221	4144	4540	1283
SP.Syn.Abst.222	1280	3024	2074
SP.Syn.Abst.223	1818	1278	1544
SP.Syn.Abst.224	4117	2739	974
SP.Syn.Abst.225	4335	2704	1126
SP.Syn.Abst.226	4678	5101	955
SP.Syn.Abst.227	5478	2662	973
SP.Syn.Abst.228	353	3662	2280
SP.Syn.Abst.229	2558	5177	1003
SP.Syn.Abst.230	3323	8263	340
SP.Syn.Abst.231	2453	2777	983
SP.Syn.Abst.232	3026	5671	758
SP.Syn.Abst.233	3788	3281	737
SP.Syn.Abst.234	4828	5621	764
SP.Syn.Abst.235	9244	3190	2859
SP.Syn.Abst.236	5155	9182	1727
SP.Syn.Abst.237	3492	5186	936
SP.Syn.Abst.238	5850	8446	2728
SP.Syn.Abst.239	6356	3721	844
SP.Syn.Abst.240	3998	4276	921
SP.Syn.Abst.241	6495	2987	1488
SP.Syn.Abst.242	3978	3486	791
SP.Syn.Abst.243	3020	2291	537
SP.Syn.Abst.244	1643	7586	1404
SP.Syn.Abst.245	3871	9033	1247
SP.Syn.Abst.246	26735	13175	2079
SP.Syn.Abst.247	3817	3845	1222
SP.Syn.Abst.248	1526	2745	967
SP.Syn.Abst.249	5731	8456	568
SP.Syn.Abst.250	2219	3190	1163
SP.Syn.Abst.251	10114	5778	1316
SP.Syn.Abst.252	4384	9221	1156
SP.Syn.Abst.253	4725	4904	524
SP.Syn.Abst.254	3984	2201	2157
SP.Syn.Abst.255	6965	3622	739
SP.Syn.Abst.256	3042	5231	7769
SP.Syn.Abst.257	3976	3519	923
SP.Syn.Abst.258	3080	3416	1045
SP.Syn.Abst.259	2726	1829	1401
SP.Syn.Abst.260	2275	4731	511
SP.Syn.Abst.261	4476	4578	390
SP.Syn.Abst.262	633	7192	943
SP.Syn.Abst.263	3054	2418	1319
SP.Syn.Abst.264	2953	5929	742
SP.Syn.Abst.265	2860	206	159
SP.Syn.Abst.266	4576	5515	1030
SP.Syn.Abst.267	2575	5837	363
SP.Syn.Abst.268	4068	4760	1267
SP.Syn.Abst.269	3880	2854	732
SP.Syn.Abst.270	6998	6414	820
SP.Syn.Abst.271	2450	4283	646
SP.Syn.Abst.272	2269	2568	458
SP.Syn.Abst.273	3837	4741	662
SP.Syn.Abst.274	3695	3579	186
SP.Syn.Abst.275	4849	3914	2048
SP.Syn.Abst.276	3785	10719	1426
SP.Syn.Abst.277	1579	2163	740
SP.Syn.Abst.278	4767	5653	859
SP.Syn.Abst.279	657	1733	413
SP.Syn.Abst.280	3647	4797	1079
SP.Syn.Abst.281	13078	3046	727
SP.Syn.Abst.282	11375	6171	1944
SP.Syn.Abst.283	3003	2271	710
SP.Syn.Abst.284	1379	2534	1908
SP.Syn.Abst.285	3082	2955	1256
SP.Syn.Abst.286	2484	1713	461
SP.Syn.Abst.287	796	1800	4582
SP.Syn.Abst.288	1631	1577	7256
SP.Syn.Abst.289	214	2498	295
SP.Syn.Abst.290	7107	2990	1004
SP.Syn.Abst.291	452	5240	264
SP.Syn.Abst.292	3368	2315	994
SP.Syn.Abst.293	7558	4480	403
SP.Syn.Abst.294	1709	4461	888
SP.Syn.Abst.295	5621	2135	1018
SP.Syn.Abst.296	3559	2331	187
SP.Syn.Abst.297	6837	6960	3861
SP.Syn.Abst.298	4539	8860	212
SP.Syn.Abst.299	1802	4070	550
SP.Syn.Abst.300	2180	5248	1088
SP.Syn.Abst.301	3090	1931	2314
SP.Syn.Abst.302	4492	6049	717
SP.Syn.Abst.303	7954	4031	600
SP.Syn.Abst.304	7650	2628	3156
SP.Syn.Abst.305	2743	5572	547
SP.Syn.Abst.306	3585	2693	1281
SP.Syn.Abst.307	3122	11334	416
SP.Syn.Abst.308	1925	3843	1057
SP.Syn.Abst.309	5299	5143	573
SP.Syn.Abst.310	1759	2038	592
SP.Syn.Abst.311	10393	1493	4881
SP.Syn.Abst.312	3589	2580	470
SP.Syn.Abst.313	3801	5247	869
SP.Syn.Abst.314	198	1243	4579
SP.Syn.Abst.315	2373	4420	559
SP.Syn.Abst.316	3778	6176	657
SP.Syn.Abst.317	2439	8428	197
SP.Syn.Abst.318	2702	5201	799
SP.Syn.Abst.319	1817	2621	1064
SP.Syn.Abst.320	3266	2707	743
SP.Syn.Abst.321	1649	3251	422
SP.Syn.Abst.322	2396	6468	457
SP.Syn.Abst.323	3889	3975	1754
SP.Syn.Abst.324	2701	5369	711
SP.Syn.Abst.325	2047	2272	498
SP.Syn.Abst.326	5494	1823	9392
SP.Syn.Abst.327	2199	3746	470
SP.Syn.Abst.328	14993	3586	1367
SP.Syn.Abst.329	1729	4205	895
SP.Syn.Abst.330	5280	8848	581
SP.Syn.Abst.331	8895	4718	2220
SP.Syn.Abst.332	5868	5737	1595
SP.Syn.Abst.333	1927	7437	1558
SP.Syn.Abst.334	12290	3121	1284
SP.Syn.Abst.335	1548	1469	353
SP.Syn.Abst.336	3827	8407	413
SP.Syn.Abst.337	5809	4340	1118
SP.Syn.Abst.338	3570	4104	664
SP.Syn.Abst.339	1646	2467	468
SP.Syn.Abst.340	5500	8209	275
SP.Syn.Abst.341	1895	5604	353
SP.Syn.Abst.342	1985	2032	666
SP.Syn.Abst.343	6588	2437	1233
SP.Syn.Abst.344	2406	1741	122
SP.Syn.Abst.345	2586	1750	978
SP.Syn.Abst.346	3576	3129	1227
SP.Syn.Abst.347	1900	4562	1242
SP.Syn.Abst.348	305	3434	376
SP.Syn.Abst.349	2909	11581	1008
SP.Syn.Abst.350	4595	5875	3121
SP.Syn.Abst.351	12597	1056	4286
SP.Syn.Abst.352	7850	4345	956
SP.Syn.Abst.353	15976	5445	2102
SP.Syn.Abst.354	7919	4313	1052
SP.Syn.Abst.355	4911	2059	1213
SP.Syn.Abst.356	553	6410	781
SP.Syn.Abst.357	2022	6084	78
SP.Syn.Abst.358	2421	6185	1756
SP.Syn.Abst.359	7786	2098	1222
SP.Syn.Abst.360	1611	2369	943
SP.Syn.Abst.361	8063	2465	664
SP.Syn.Abst.362	1632	3631	790
SP.Syn.Abst.363	2663	4340	859
SP.Syn.Abst.364	1781	5183	1795
SP.Syn.Abst.365	4081	8893	591
SP.Syn.Abst.366	3688	3197	1425
SP.Syn.Abst.367	7166	8913	1502
SP.Syn.Abst.368	2805	1623	1382
SP.Syn.Abst.369	225	2332	1565
SP.Syn.Abst.370	4376	4460	3391
SP.Syn.Abst.371	9522	4095	1178
SP.Syn.Abst.372	941	2905	564
SP.Syn.Abst.373	3741	2876	602
SP.Syn.Abst.374	3591	3914	2298
SP.Syn.Abst.375	4119	3425	842
SP.Syn.Abst.376	5901	3007	657
SP.Syn.Abst.377	1797	6607	1231
SP.Syn.Abst.378	4424	3353	1437
SP.Syn.Abst.379	9801	5712	1383
SP.Syn.Abst.380	8763	4337	3599
SP.Syn.Abst.381	3890	3410	929
SP.Syn.Abst.382	3464	2786	838
SP.Syn.Abst.383	2851	2060	846
SP.Syn.Abst.384	5248	4888	542
SP.Syn.Abst.385	7475	6389	801
SP.Syn.Abst.386	5393	6478	1491
SP.Syn.Abst.387	12878	6112	6196
SP.Syn.Abst.388	7995	7342	2300
SP.Syn.Abst.389	2524	3676	123
SP.Syn.Abst.390	2004	3068	101
SP.Syn.Abst.391	1758	5056	828
SP.Syn.Abst.392	7109	7129	740
SP.Syn.Abst.393	2015	1887	588
SP.Syn.Abst.394	4279	2955	1602
SP.Syn.Abst.395	537	5495	3755
SP.Syn.Abst.396	2030	2323	1334
SP.Syn.Abst.397	3246	2328	739
SP.Syn.Abst.398	2772	4145	946
SP.Syn.Abst.399	4162	6317	1277
SP.Syn.Abst.400	16695	6147	1274
SP.Syn.Abst.401	5087	2190	685
SP.Syn.Abst.402	6569	2987	359
SP.Syn.Abst.403	4793	9942	1188
SP.Syn.Abst.404	5251	8221	3969
SP.Syn.Abst.405	3765	2148	1263
SP.Syn.Abst.406	3490	5246	1456
SP.Syn.Abst.407	8470	4772	1217
SP.Syn.Abst.408	5007	5856	708
SP.Syn.Abst.409	4222	1995	224
SP.Syn.Abst.410	2346	4541	1871
SP.Syn.Abst.411	5608	6171	1070
SP.Syn.Abst.412	2906	4883	544
SP.Syn.Abst.413	4655	4809	785
SP.Syn.Abst.414	396	4444	475
SP.Syn.Abst.415	3122	3357	725
SP.Syn.Abst.416	2277	1325	1256
SP.Syn.Abst.417	3741	4375	1741
SP.Syn.Abst.418	3356	1577	5015
SP.Syn.Abst.419	6369	4830	1627
SP.Syn.Abst.420	4402	7310	1205
SP.Syn.Abst.421	2905	2236	5571
SP.Syn.Abst.422	3746	8743	677
SP.Syn.Abst.423	3685	3809	481
SP.Syn.Abst.424	1705	5249	1213
SP.Syn.Abst.425	2840	3140	1301
SP.Syn.Abst.426	3412	3158	1119
SP.Syn.Abst.427	290	3467	0
SP.Syn.Abst.428	13028	10112	772
SP.Syn.Abst.429	2017	4107	1063
SP.Syn.Abst.430	252	2553	1564
SP.Syn.Abst.431	1298	1129	2897
SP.Syn.Abst.432	319	3498	1045
SP.Syn.Abst.433	6712	4307	1017
SP.Syn.Abst.434	2108	3740	2181
SP.Syn.Abst.435	3562	2956	1036
SP.Syn.Abst.436	6940	7678	2719
SP.Syn.Abst.437	2334	2583	793
SP.Syn.Abst.438	3145	3924	3729
SP.Syn.Abst.439	368	4004	1100
SP.Syn.Abst.440	2536	2281	1161
SP.Syn.Abst.441	3318	5415	1222
SP.Syn.Abst.442	1718	3940	602
SP.Syn.Abst.443	5380	4040	1196
SP.Syn.Abst.444	2086	4450	484
SP.Syn.Abst.445	5012	7097	1004
SP.Syn.Abst.446	3529	3690	1158
SP.Syn.Abst.447	1893	5086	207
SP.Syn.Abst.448	2563	1776	2502
SP.Syn.Abst.449	7630	2016	1303
SP.Syn.Abst.450	4056	4545	474
SP.Syn.Abst.451	5030	3969	558
SP.Syn.Abst.452	2677	5562	771
SP.Syn.Abst.453	5437	3537	662
SP.Syn.Abst.454	8473	2100	467
SP.Syn.Abst.455	2516	7246	566
SP.Syn.Abst.456	6289	3786	752
SP.Syn.Abst.457	4761	2094	4019
SP.Syn.Abst.458	4125	2999	529
SP.Syn.Abst.459	4071	2839	2261
SP.Syn.Abst.460	4337	3674	609
SP.Syn.Abst.461	4148	3778	602
SP.Syn.Abst.462	6443	2108	3796
SP.Syn.Abst.463	2729	3199	1523
SP.Syn.Abst.464	1369	3545	1315
SP.Syn.Abst.465	3917	4563	759
SP.Syn.Abst.466	6818	5497	662
SP.Syn.Abst.467	4006	5575	1406
SP.Syn.Abst.468	5845	1439	892
SP.Syn.Abst.469	203	2449	0
SP.Syn.Abst.470	10262	8305	825
SP.Syn.Abst.471	5502	2480	2235
SP.Syn.Abst.472	10664	4413	1383
SP.Syn.Abst.473	2237	8023	2085
SP.Syn.Abst.474	3560	5102	1003
SP.Syn.Abst.475	4760	4073	252
SP.Syn.Abst.476	5741	5748	1500
SP.Syn.Abst.477	5611	3431	1388
SP.Syn.Abst.478	5670	4752	546
SP.Syn.Abst.479	3714	1821	956
SP.Syn.Abst.480	5414	1764	2254
SP.Syn.Abst.481	3347	3829	1172
SP.Syn.Abst.482	2534	7188	1243
SP.Syn.Abst.483	11583	13067	3022
SP.Syn.Abst.484	6041	3206	1734
SP.Syn.Abst.485	1605	2622	2019
SP.Syn.Abst.486	8299	5374	902
SP.Syn.Abst.487	221	2418	1043
SP.Syn.Abst.488	1274	1262	1232
SP.Syn.Abst.489	6458	4800	435
SP.Syn.Abst.490	1031	3637	39
SP.Syn.Abst.491	3025	1256	1738
SP.Syn.Abst.492	5156	1178	734
SP.Syn.Abst.493	3309	3902	1133
SP.Syn.Abst.494	1903	3488	609
SP.Syn.Abst.495	1958	2333	4801
SP.Syn.Abst.496	2569	3017	231
SP.Syn.Abst.497	3027	4502	146
SP.Syn.Abst.498	2433	7572	513
SP.Syn.Abst.499	6361	4881	1144
SP.Syn.Abst.500	4933	6027	5594
SP.Syn.Abst.501	2566	4188	2466
SP.Syn.Abst.502	5298	2340	1145
SP.Syn.Abst.503	1833	951	1906
SP.Syn.Abst.504	2200	4361	1834
SP.Syn.Abst.505	3345	6381	805
SP.Syn.Abst.506	7398	5558	687
SP.Syn.Abst.507	2684	1904	820
SP.Syn.Abst.508	7808	3973	1661
SP.Syn.Abst.509	212	1502	4262
SP.Syn.Abst.510	5266	3958	2047
SP.Syn.Abst.511	4062	5789	887
SP.Syn.Abst.512	4574	4235	1759
SP.Syn.Abst.513	5712	2849	308
SP.Syn.Abst.514	3083	3706	860
SP.Syn.Abst.515	11881	4245	1498
SP.Syn.Abst.516	3910	3233	2118
SP.Syn.Abst.517	601	6932	888
SP.Syn.Abst.518	382	4043	1595
SP.Syn.Abst.519	5118	4104	1283
SP.Syn.Abst.520	4512	2931	1826
SP.Syn.Abst.521	155	1733	393
SP.Syn.Abst.522	12788	4900	1335
SP.Syn.Abst.523	1935	2184	1699
SP.Syn.Abst.524	1079	1148	1393
SP.Syn.Abst.525	5883	4966	782
SP.Syn.Abst.526	5102	1783	2024
SP.Syn.Abst.527	3047	8339	1523
SP.Syn.Abst.528	7359	5974	591
SP.Syn.Abst.529	3389	3452	1135
SP.Syn.Abst.530	5084	2827	918
SP.Syn.Abst.531	111	1382	0
SP.Syn.Abst.532	3096	3539	324
SP.Syn.Abst.533	4137	4244	2764
SP.Syn.Abst.534	2182	1921	2574
SP.Syn.Abst.535	3262	7283	1859
SP.Syn.Abst.536	2447	3644	684
SP.Syn.Abst.537	4088	1637	3577
SP.Syn.Abst.538	2997	4657	1302
SP.Syn.Abst.539	7538	5322	979
SP.Syn.Abst.540	10044	5038	1299
SP.Syn.Abst.541	3456	3740	633
SP.Syn.Abst.542	5183	1609	923
SP.Syn.Abst.543	5998	7542	1471
SP.Syn.Abst.544	2903	3819	830
SP.Syn.Abst.545	2360	4861	1340
SP.Syn.Abst.546	5373	3190	3038
SP.Syn.Abst.547	5189	2360	1033
SP.Syn.Abst.548	2692	2059	845
SP.Syn.Abst.549	1335	4773	1617
SP.Syn.Abst.550	2854	2204	326
SP.Syn.Abst.551	2485	2850	3751
SP.Syn.Abst.552	2925	8216	876
SP.Syn.Abst.553	1971	3045	1018
SP.Syn.Abst.554	1177	791	1515
SP.Syn.Abst.555	3343	4412	820
SP.Syn.Abst.556	257	2771	1171
SP.Syn.Abst.557	3516	5588	2555
SP.Syn.Abst.558	2652	4223	2284
SP.Syn.Abst.559	7043	3797	923
SP.Syn.Abst.560	5011	2470	886
SP.Syn.Abst.561	3469	5782	441
SP.Syn.Abst.562	3259	5104	1550
SP.Syn.Abst.563	7216	3833	1128
SP.Syn.Abst.564	13641	4861	1258
SP.Syn.Abst.565	3724	10667	437
SP.Syn.Abst.566	6520	9789	1959
SP.Syn.Abst.567	3237	2285	1744
SP.Syn.Abst.568	4410	3662	579
SP.Syn.Abst.569	3013	3887	275
SP.Syn.Abst.570	6366	3052	341
SP.Syn.Abst.571	2647	8737	442
SP.Syn.Abst.572	2560	8677	1138
SP.Syn.Abst.573	2937	1705	725
SP.Syn.Abst.574	1547	2968	774
SP.Syn.Abst.575	2581	7607	820
SP.Syn.Abst.576	4904	6711	514
SP.Syn.Abst.577	4368	4668	960
SP.Syn.Abst.578	4853	3994	806
SP.Syn.Abst.579	4666	1846	1506
SP.Syn.Abst.580	3838	6381	1762
SP.Syn.Abst.581	2383	2556	827
SP.Syn.Abst.582	4883	2299	800
SP.Syn.Abst.583	2111	1945	1255
SP.Syn.Abst.584	2017	6230	84
SP.Syn.Abst.585	6216	3850	1855
SP.Syn.Abst.586	2121	1754	5824
SP.Syn.Abst.587	3469	4638	651
SP.Syn.Abst.588	4506	3217	931
SP.Syn.Abst.589	3886	3876	1812
SP.Syn.Abst.590	2135	2695	2931
SP.Syn.Abst.591	1729	1477	956
SP.Syn.Abst.592	18153	7390	3156
SP.Syn.Abst.593	2707	2520	471
SP.Syn.Abst.594	6369	3066	1515
SP.Syn.Abst.595	3425	3368	1193
SP.Syn.Abst.596	4015	3975	612
SP.Syn.Abst.597	1937	1325	1515
SP.Syn.Abst.598	6381	3395	781
SP.Syn.Abst.599	1881	2928	1438
SP.Syn.Abst.600	1740	2105	745
SP.Syn.Abst.601	3074	5030	914
SP.Syn.Abst.602	4573	5735	2768
SP.Syn.Abst.603	4624	2063	2423
SP.Syn.Abst.604	221	2362	1040
SP.Syn.Abst.605	2742	1503	824
SP.Syn.Abst.606	6224	5679	598
SP.Syn.Abst.607	5186	6421	1666
SP.Syn.Abst.608	3154	2119	495
SP.Syn.Abst.609	4791	3264	772
SP.Syn.Abst.610	2140	5353	973
SP.Syn.Abst.611	8149	3547	1382
SP.Syn.Abst.612	1904	4749	2049
SP.Syn.Abst.613	4751	2041	1644
SP.Syn.Abst.614	361	4207	135
SP.Syn.Abst.615	3685	5158	1583
SP.Syn.Abst.616	1529	3095	721
SP.Syn.Abst.617	2002	2247	1721
SP.Syn.Abst.618	12347	2635	1233
SP.Syn.Abst.619	6825	7617	1881
SP.Syn.Abst.620	3280	5264	1504
SP.Syn.Abst.621	2615	6102	1731
SP.Syn.Abst.622	2838	4663	772
SP.Syn.Abst.623	5213	5474	1024
SP.Syn.Abst.624	8843	4432	1845
SP.Syn.Abst.625	397	4434	1103
SP.Syn.Abst.626	3447	4297	486
SP.Syn.Abst.627	2531	1087	1439
SP.Syn.Abst.628	2268	1902	2761
SP.Syn.Abst.629	3222	2592	2199
SP.Syn.Abst.630	2710	3281	662
SP.Syn.Abst.631	7848	4281	762
SP.Syn.Abst.632	331	3751	406
SP.Syn.Abst.633	11952	5564	819
SP.Syn.Abst.634	4722	6886	1329
SP.Syn.Abst.635	4854	1695	266
SP.Syn.Abst.636	3052	3080	1587
SP.Syn.Abst.637	2351	4069	1513
SP.Syn.Abst.638	5809	4258	596
SP.Syn.Abst.639	9806	4543	1355
SP.Syn.Abst.640	5415	4049	1072
SP.Syn.Abst.641	1040	1660	1572
SP.Syn.Abst.642	2603	107	640
SP.Syn.Abst.643	6398	3308	3793
SP.Syn.Abst.644	3896	2706	205
SP.Syn.Abst.645	1522	2083	1735
SP.Syn.Abst.646	3308	149	707
SP.Syn.Abst.647	4922	5144	923
SP.Syn.Abst.648	5005	5218	830
SP.Syn.Abst.649	2483	3185	1386
SP.Syn.Abst.650	3440	2939	439
SP.Syn.Abst.651	2927	4419	1694
SP.Syn.Abst.652	5070	4503	920
