Samples	SBS96A	SBS96B	SBS96C
SP.Syn.Abst.184	7.77E+00	1.27E+01	1.17E+01
SP.Syn.Abst.185	2.94E+01	2.98E+01	1.79E+01
SP.Syn.Abst.186	1.84E+01	1.86E+01	7.78E+00
SP.Syn.Abst.187	3.35E+01	3.46E+01	1.42E+01
SP.Syn.Abst.188	1.72E+01	2.37E+01	2.61E+01
SP.Syn.Abst.189	1.17E+01	1.30E+01	1.01E+01
SP.Syn.Abst.190	4.13E+01	3.92E+01	1.99E+01
SP.Syn.Abst.191	2.60E+01	2.41E+01	1.54E+01
SP.Syn.Abst.192	2.76E+01	2.57E+01	1.64E+01
SP.Syn.Abst.193	1.82E+01	2.29E+01	2.61E+01
SP.Syn.Abst.194	1.87E+01	1.82E+01	1.58E+01
SP.Syn.Abst.195	2.98E+01	2.97E+01	1.25E+01
SP.Syn.Abst.196	4.82E+01	4.56E+01	1.95E+01
SP.Syn.Abst.197	3.04E+01	2.89E+01	3.29E+01
SP.Syn.Abst.198	2.89E+01	2.82E+01	9.22E+00
SP.Syn.Abst.199	1.64E+01	1.79E+01	1.36E+01
SP.Syn.Abst.200	2.20E+01	2.29E+01	7.20E+00
SP.Syn.Abst.201	2.09E+01	2.13E+01	1.48E+01
SP.Syn.Abst.202	1.96E+01	3.01E+01	3.30E+01
SP.Syn.Abst.203	3.20E+01	3.35E+01	1.25E+01
SP.Syn.Abst.204	2.57E+01	4.00E+01	4.21E+01
SP.Syn.Abst.205	1.72E+01	1.65E+01	1.22E+01
SP.Syn.Abst.206	3.02E+01	2.98E+01	1.30E+01
SP.Syn.Abst.207	3.30E+01	3.26E+01	2.64E+01
SP.Syn.Abst.208	2.74E+01	2.67E+01	1.69E+01
SP.Syn.Abst.209	2.07E+01	2.13E+01	2.24E+01
SP.Syn.Abst.210	1.95E+01	2.93E+01	2.52E+01
SP.Syn.Abst.211	4.39E+01	3.52E+01	2.91E+01
SP.Syn.Abst.212	2.26E+01	2.31E+01	1.59E+01
SP.Syn.Abst.213	3.74E+01	3.47E+01	1.75E+01
SP.Syn.Abst.214	1.72E+01	1.82E+01	8.01E+00
SP.Syn.Abst.215	2.88E+01	2.82E+01	2.06E+01
SP.Syn.Abst.216	3.32E+01	3.11E+01	1.77E+01
SP.Syn.Abst.217	2.27E+01	3.69E+01	4.06E+01
SP.Syn.Abst.218	3.75E+01	3.78E+01	1.19E+01
SP.Syn.Abst.219	2.43E+01	2.03E+01	2.61E+01
SP.Syn.Abst.220	4.73E+01	4.05E+01	2.22E+01
SP.Syn.Abst.221	2.42E+01	2.48E+01	2.27E+01
SP.Syn.Abst.222	1.70E+01	2.82E+01	2.99E+01
SP.Syn.Abst.223	1.52E+01	2.15E+01	2.38E+01
SP.Syn.Abst.224	1.90E+01	2.12E+01	1.81E+01
SP.Syn.Abst.225	2.14E+01	2.15E+01	1.88E+01
SP.Syn.Abst.226	2.66E+01	2.79E+01	2.00E+01
SP.Syn.Abst.227	2.33E+01	2.08E+01	1.75E+01
SP.Syn.Abst.228	1.58E+01	3.22E+01	3.27E+01
SP.Syn.Abst.229	2.45E+01	2.44E+01	1.84E+01
SP.Syn.Abst.230	3.86E+01	4.04E+01	1.37E+01
SP.Syn.Abst.231	1.63E+01	1.73E+01	1.68E+01
SP.Syn.Abst.232	2.53E+01	2.46E+01	1.54E+01
SP.Syn.Abst.233	2.16E+01	2.26E+01	1.45E+01
SP.Syn.Abst.234	3.12E+01	3.14E+01	1.61E+01
SP.Syn.Abst.235	3.47E+01	3.12E+01	3.77E+01
SP.Syn.Abst.236	3.76E+01	3.58E+01	2.83E+01
SP.Syn.Abst.237	2.37E+01	2.59E+01	1.99E+01
SP.Syn.Abst.238	3.58E+01	3.83E+01	4.33E+01
SP.Syn.Abst.239	3.06E+01	2.93E+01	1.93E+01
SP.Syn.Abst.240	2.46E+01	2.56E+01	1.80E+01
SP.Syn.Abst.241	2.94E+01	2.40E+01	2.23E+01
SP.Syn.Abst.242	2.44E+01	2.54E+01	1.74E+01
SP.Syn.Abst.243	1.71E+01	1.74E+01	1.25E+01
SP.Syn.Abst.244	2.76E+01	2.91E+01	2.22E+01
SP.Syn.Abst.245	3.63E+01	3.81E+01	2.49E+01
SP.Syn.Abst.246	1.15E+02	1.02E+02	4.02E+01
SP.Syn.Abst.247	2.32E+01	2.28E+01	2.45E+01
SP.Syn.Abst.248	1.59E+01	1.64E+01	1.55E+01
SP.Syn.Abst.249	4.31E+01	4.20E+01	1.78E+01
SP.Syn.Abst.250	1.48E+01	1.73E+01	1.80E+01
SP.Syn.Abst.251	4.73E+01	4.24E+01	2.76E+01
SP.Syn.Abst.252	4.07E+01	4.23E+01	2.33E+01
SP.Syn.Abst.253	3.22E+01	3.13E+01	1.68E+01
SP.Syn.Abst.254	2.14E+01	2.92E+01	3.04E+01
SP.Syn.Abst.255	2.95E+01	2.66E+01	1.79E+01
SP.Syn.Abst.256	5.62E+01	1.04E+02	1.01E+02
SP.Syn.Abst.257	2.26E+01	2.25E+01	1.86E+01
SP.Syn.Abst.258	2.15E+01	2.12E+01	1.92E+01
SP.Syn.Abst.259	1.70E+01	1.76E+01	2.06E+01
SP.Syn.Abst.260	2.38E+01	2.59E+01	1.28E+01
SP.Syn.Abst.261	3.05E+01	2.88E+01	1.48E+01
SP.Syn.Abst.262	2.52E+01	2.81E+01	1.90E+01
SP.Syn.Abst.263	1.57E+01	1.84E+01	2.07E+01
SP.Syn.Abst.264	2.88E+01	2.84E+01	1.47E+01
SP.Syn.Abst.265	1.10E+01	1.14E+01	7.85E+00
SP.Syn.Abst.266	2.65E+01	2.52E+01	1.95E+01
SP.Syn.Abst.267	2.79E+01	3.23E+01	1.40E+01
SP.Syn.Abst.268	2.60E+01	2.70E+01	2.39E+01
SP.Syn.Abst.269	2.13E+01	1.89E+01	1.71E+01
SP.Syn.Abst.270	3.89E+01	3.82E+01	1.97E+01
SP.Syn.Abst.271	2.27E+01	2.23E+01	1.53E+01
SP.Syn.Abst.272	1.70E+01	1.80E+01	1.18E+01
SP.Syn.Abst.273	2.81E+01	2.50E+01	1.73E+01
SP.Syn.Abst.274	2.39E+01	2.45E+01	1.10E+01
SP.Syn.Abst.275	2.52E+01	2.37E+01	2.87E+01
SP.Syn.Abst.276	4.41E+01	4.06E+01	2.61E+01
SP.Syn.Abst.277	1.29E+01	1.40E+01	1.41E+01
SP.Syn.Abst.278	2.88E+01	2.74E+01	1.73E+01
SP.Syn.Abst.279	8.85E+00	1.19E+01	9.89E+00
SP.Syn.Abst.280	2.56E+01	2.29E+01	2.09E+01
SP.Syn.Abst.281	4.94E+01	4.52E+01	1.72E+01
SP.Syn.Abst.282	4.78E+01	4.21E+01	3.07E+01
SP.Syn.Abst.283	1.84E+01	1.79E+01	1.64E+01
SP.Syn.Abst.284	1.79E+01	2.45E+01	2.47E+01
SP.Syn.Abst.285	1.74E+01	2.11E+01	1.90E+01
SP.Syn.Abst.286	1.60E+01	1.56E+01	1.28E+01
SP.Syn.Abst.287	3.77E+01	6.31E+01	5.72E+01
SP.Syn.Abst.288	6.61E+01	1.08E+02	9.00E+01
SP.Syn.Abst.289	1.03E+01	1.18E+01	8.12E+00
SP.Syn.Abst.290	3.01E+01	2.73E+01	1.97E+01
SP.Syn.Abst.291	2.07E+01	2.18E+01	9.35E+00
SP.Syn.Abst.292	1.74E+01	1.81E+01	1.73E+01
SP.Syn.Abst.293	3.73E+01	3.58E+01	1.35E+01
SP.Syn.Abst.294	1.94E+01	2.14E+01	1.71E+01
SP.Syn.Abst.295	2.31E+01	2.15E+01	1.95E+01
SP.Syn.Abst.296	2.10E+01	2.29E+01	1.01E+01
SP.Syn.Abst.297	3.32E+01	4.56E+01	5.37E+01
SP.Syn.Abst.298	4.70E+01	4.83E+01	1.27E+01
SP.Syn.Abst.299	1.98E+01	2.02E+01	1.42E+01
SP.Syn.Abst.300	2.16E+01	2.07E+01	2.06E+01
SP.Syn.Abst.301	2.03E+01	2.86E+01	3.01E+01
SP.Syn.Abst.302	2.97E+01	2.92E+01	1.54E+01
SP.Syn.Abst.303	3.70E+01	3.63E+01	1.55E+01
SP.Syn.Abst.304	3.28E+01	3.47E+01	4.55E+01
SP.Syn.Abst.305	2.47E+01	2.58E+01	1.39E+01
SP.Syn.Abst.306	1.86E+01	2.15E+01	2.14E+01
SP.Syn.Abst.307	5.03E+01	4.96E+01	1.67E+01
SP.Syn.Abst.308	1.74E+01	2.11E+01	1.98E+01
SP.Syn.Abst.309	3.25E+01	3.32E+01	1.60E+01
SP.Syn.Abst.310	1.38E+01	1.59E+01	1.28E+01
SP.Syn.Abst.311	4.35E+01	5.49E+01	5.86E+01
SP.Syn.Abst.312	1.94E+01	2.03E+01	1.24E+01
SP.Syn.Abst.313	3.05E+01	2.84E+01	2.00E+01
SP.Syn.Abst.314	3.97E+01	6.55E+01	5.59E+01
SP.Syn.Abst.315	2.25E+01	2.12E+01	1.53E+01
SP.Syn.Abst.316	3.13E+01	3.48E+01	1.87E+01
SP.Syn.Abst.317	3.63E+01	3.82E+01	1.21E+01
SP.Syn.Abst.318	2.46E+01	2.80E+01	1.78E+01
SP.Syn.Abst.319	1.35E+01	1.68E+01	1.68E+01
SP.Syn.Abst.320	1.75E+01	1.91E+01	1.58E+01
SP.Syn.Abst.321	1.55E+01	1.75E+01	1.19E+01
SP.Syn.Abst.322	3.18E+01	3.07E+01	1.43E+01
SP.Syn.Abst.323	2.29E+01	2.75E+01	2.80E+01
SP.Syn.Abst.324	2.38E+01	2.46E+01	1.78E+01
SP.Syn.Abst.325	1.56E+01	1.67E+01	1.22E+01
SP.Syn.Abst.326	7.87E+01	1.27E+02	1.17E+02
SP.Syn.Abst.327	1.91E+01	2.06E+01	1.25E+01
SP.Syn.Abst.328	5.76E+01	5.05E+01	2.71E+01
SP.Syn.Abst.329	1.83E+01	2.00E+01	1.66E+01
SP.Syn.Abst.330	4.60E+01	4.41E+01	1.53E+01
SP.Syn.Abst.331	3.70E+01	3.39E+01	3.15E+01
SP.Syn.Abst.332	3.21E+01	3.19E+01	2.96E+01
SP.Syn.Abst.333	2.75E+01	2.93E+01	2.79E+01
SP.Syn.Abst.334	5.05E+01	4.20E+01	2.46E+01
SP.Syn.Abst.335	1.18E+01	1.30E+01	1.10E+01
SP.Syn.Abst.336	4.03E+01	4.07E+01	1.40E+01
SP.Syn.Abst.337	2.76E+01	2.98E+01	2.31E+01
SP.Syn.Abst.338	2.31E+01	2.18E+01	1.48E+01
SP.Syn.Abst.339	1.54E+01	1.55E+01	1.23E+01
SP.Syn.Abst.340	4.47E+01	4.44E+01	1.29E+01
SP.Syn.Abst.341	2.76E+01	2.89E+01	1.35E+01
SP.Syn.Abst.342	1.40E+01	1.44E+01	1.28E+01
SP.Syn.Abst.343	2.60E+01	2.37E+01	2.22E+01
SP.Syn.Abst.344	1.58E+01	1.64E+01	8.29E+00
SP.Syn.Abst.345	1.22E+01	1.64E+01	1.68E+01
SP.Syn.Abst.346	1.88E+01	2.03E+01	1.97E+01
SP.Syn.Abst.347	1.99E+01	2.15E+01	2.18E+01
SP.Syn.Abst.348	1.42E+01	1.49E+01	1.11E+01
SP.Syn.Abst.349	4.51E+01	4.66E+01	2.29E+01
SP.Syn.Abst.350	3.17E+01	3.93E+01	4.36E+01
SP.Syn.Abst.351	4.30E+01	4.90E+01	5.56E+01
SP.Syn.Abst.352	3.53E+01	3.21E+01	1.92E+01
SP.Syn.Abst.353	6.31E+01	5.29E+01	3.57E+01
SP.Syn.Abst.354	3.59E+01	3.17E+01	1.89E+01
SP.Syn.Abst.355	2.33E+01	2.22E+01	2.09E+01
SP.Syn.Abst.356	2.33E+01	2.68E+01	1.65E+01
SP.Syn.Abst.357	2.86E+01	2.93E+01	8.26E+00
SP.Syn.Abst.358	2.72E+01	2.80E+01	2.82E+01
SP.Syn.Abst.359	3.16E+01	2.70E+01	2.15E+01
SP.Syn.Abst.360	1.33E+01	1.52E+01	1.69E+01
SP.Syn.Abst.361	3.43E+01	3.29E+01	1.72E+01
SP.Syn.Abst.362	1.65E+01	1.64E+01	1.44E+01
SP.Syn.Abst.363	2.23E+01	2.17E+01	1.80E+01
SP.Syn.Abst.364	1.97E+01	2.40E+01	2.38E+01
SP.Syn.Abst.365	3.84E+01	3.93E+01	1.80E+01
SP.Syn.Abst.366	2.09E+01	2.25E+01	2.24E+01
SP.Syn.Abst.367	4.89E+01	4.55E+01	2.73E+01
SP.Syn.Abst.368	1.65E+01	1.75E+01	2.00E+01
SP.Syn.Abst.369	1.19E+01	2.21E+01	2.28E+01
SP.Syn.Abst.370	2.53E+01	4.10E+01	4.75E+01
SP.Syn.Abst.371	3.84E+01	3.18E+01	2.35E+01
SP.Syn.Abst.372	1.23E+01	1.54E+01	1.26E+01
SP.Syn.Abst.373	2.03E+01	2.11E+01	1.62E+01
SP.Syn.Abst.374	2.19E+01	2.84E+01	3.04E+01
SP.Syn.Abst.375	2.28E+01	2.34E+01	1.73E+01
SP.Syn.Abst.376	2.71E+01	2.70E+01	1.55E+01
SP.Syn.Abst.377	2.46E+01	2.63E+01	2.12E+01
SP.Syn.Abst.378	2.44E+01	2.19E+01	2.31E+01
SP.Syn.Abst.379	4.72E+01	4.13E+01	2.62E+01
SP.Syn.Abst.380	3.83E+01	3.91E+01	5.15E+01
SP.Syn.Abst.381	2.22E+01	2.20E+01	1.70E+01
SP.Syn.Abst.382	1.89E+01	1.76E+01	1.66E+01
SP.Syn.Abst.383	1.69E+01	1.68E+01	1.64E+01
SP.Syn.Abst.384	3.45E+01	3.40E+01	1.51E+01
SP.Syn.Abst.385	4.32E+01	4.14E+01	1.92E+01
SP.Syn.Abst.386	3.41E+01	3.18E+01	2.61E+01
SP.Syn.Abst.387	5.56E+01	6.01E+01	7.79E+01
SP.Syn.Abst.388	3.94E+01	3.64E+01	3.37E+01
SP.Syn.Abst.389	2.33E+01	2.36E+01	8.16E+00
SP.Syn.Abst.390	1.98E+01	2.06E+01	8.52E+00
SP.Syn.Abst.391	2.06E+01	2.32E+01	1.74E+01
SP.Syn.Abst.392	4.42E+01	4.35E+01	2.02E+01
SP.Syn.Abst.393	1.42E+01	1.62E+01	1.28E+01
SP.Syn.Abst.394	2.19E+01	2.23E+01	2.67E+01
SP.Syn.Abst.395	2.63E+01	4.58E+01	4.82E+01
SP.Syn.Abst.396	1.47E+01	1.81E+01	2.09E+01
SP.Syn.Abst.397	1.91E+01	1.74E+01	1.46E+01
SP.Syn.Abst.398	2.43E+01	2.38E+01	1.94E+01
SP.Syn.Abst.399	3.21E+01	2.90E+01	2.44E+01
SP.Syn.Abst.400	6.73E+01	6.36E+01	2.73E+01
SP.Syn.Abst.401	2.13E+01	1.99E+01	1.40E+01
SP.Syn.Abst.402	2.94E+01	2.62E+01	1.40E+01
SP.Syn.Abst.403	4.14E+01	4.10E+01	2.30E+01
SP.Syn.Abst.404	3.60E+01	4.32E+01	4.90E+01
SP.Syn.Abst.405	1.91E+01	1.73E+01	2.07E+01
SP.Syn.Abst.406	2.61E+01	2.84E+01	2.37E+01
SP.Syn.Abst.407	3.81E+01	3.38E+01	2.16E+01
SP.Syn.Abst.408	3.61E+01	3.51E+01	1.76E+01
SP.Syn.Abst.409	2.19E+01	2.20E+01	1.05E+01
SP.Syn.Abst.410	2.13E+01	2.76E+01	2.92E+01
